#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11677_under50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 40862354 -o reports_under50bp/MS11677_jun23_under50bp.metaphlan_profile.txt
#40862354 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1095983
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	93.60739	0.35172	1060836
k__Archaea	2157	6.39261	0.02402	35147
k__Bacteria|p__Proteobacteria	2|1224	33.34497	0.12529	298168
k__Bacteria|p__Bacteroidota	2|976	22.35311	0.08399	364139
k__Bacteria|p__Firmicutes	2|1239	22.03841	0.08281	261749
k__Bacteria|p__Fusobacteria	2|32066	12.26512	0.04608	73901
k__Archaea|p__Thaumarchaeota	2157|651137	6.39261	0.02402	35147
k__Bacteria|p__Actinobacteria	2|201174	2.56855	0.00965	48212
k__Bacteria|p__Nitrospirae	2|40117	0.81059	0.00305	10032
k__Bacteria|p__Acidobacteria	2|57723	0.17572	0.00066	3971
k__Bacteria|p__Gemmatimonadetes	2|142182	0.05092	0.00019	664
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	22.01701	0.08273	358032
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	21.37186	0.0803	255541
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	12.22322	0.04593	73550
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	9.54945	0.03588	69396
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	8.47647	0.03185	52435
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	7.8462	0.02948	58639
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	6.00424	0.02256	32807
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	3.13064	0.01176	34265
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.30526	0.00866	45233
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	2.17603	0.00818	47615
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.80448	0.00302	9973
k__Bacteria|p__Proteobacteria|c__CFGB49326	2|1224|	0.71697	0.00269	15195
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.54456	0.00205	7588
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	0.45688	0.00172	6949
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.38836	0.00146	2340
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.35263	0.00132	3505
k__Bacteria|p__Proteobacteria|c__CFGB2874	2|1224|	0.19861	0.00075	1449
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.19425	0.00073	3452
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.16351	0.00061	1426
k__Bacteria|p__Acidobacteria|c__CFGB52975	2|57723|	0.15177	0.00057	3493
k__Bacteria|p__Bacteroidota|c__CFGB36419	2|976|	0.15096	0.00057	2255
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.14063	0.00053	1537
k__Bacteria|p__Bacteroidota|c__Chitinophagia	2|976|1853228	0.11714	0.00044	2685
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.06883	0.00026	468
k__Bacteria|p__Firmicutes|c__CFGB1258	2|1239|	0.06617	0.00025	661
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	2|201174|84992	0.05383	0.0002	974
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes_unclassified	2|142182|	0.05092	0.00019	664
k__Bacteria|p__Firmicutes|c__CFGB9725	2|1239|	0.046	0.00017	361
k__Bacteria|p__Fusobacteria|c__CFGB79089	2|32066|	0.0419	0.00016	351
k__Bacteria|p__Proteobacteria|c__CFGB77407	2|1224|	0.03712	0.00014	809
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.03696	0.00014	601
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.03103	0.00012	566
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	0.02438	9e-05	139
k__Bacteria|p__Acidobacteria|c__CFGB5372	2|57723|	0.02395	9e-05	478
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.0178	7e-05	376
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.01386	5e-05	116
k__Bacteria|p__Nitrospirae|c__CFGB32184	2|40117|	0.00612	2e-05	59
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	22.01701	0.08273	358032
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	21.33838	0.08018	255223
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	12.22322	0.04593	73550
k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404	2|1224||	9.54945	0.03588	69396
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	8.47647	0.03185	52435
k__Bacteria|p__Proteobacteria|c__CFGB2403|o__OFGB2403	2|1224||	7.8462	0.02948	58639
k__Archaea|p__Thaumarchaeota|c__CFGB167|o__OFGB167	2157|651137||	6.00424	0.02256	32807
k__Bacteria|p__Proteobacteria|c__CFGB5371|o__OFGB5371	2|1224||	2.17603	0.00818	47615
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	1.81343	0.00681	30207
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.5364	0.00577	13626
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	1.05633	0.00397	16305
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	0.80448	0.00302	9973
k__Bacteria|p__Proteobacteria|c__CFGB49326|o__OFGB49326	2|1224||	0.71697	0.00269	15195
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.52528	0.00197	4144
k__Bacteria|p__Proteobacteria|c__CFGB33292|o__OFGB33292	2|1224||	0.45688	0.00172	6949
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales	2157|651137||31932	0.38836	0.00146	2340
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.35263	0.00132	3505
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	0.3387	0.00127	4970
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	2|201174|1760|85012	0.3059	0.00115	10213
k__Bacteria|p__Proteobacteria|c__CFGB2874|o__OFGB2874	2|1224||	0.19861	0.00075	1449
k__Bacteria|p__Acidobacteria|c__CFGB52975|o__OFGB52975	2|57723||	0.15177	0.00057	3493
