#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11673_under50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 33907031 -o reports_under50bp/MS11673_jun23_under50bp.metaphlan_profile.txt
#33907031 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:377418
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	89.6558	0.09261	361880
k__Archaea	2157	10.3442	0.01068	15538
k__Bacteria|p__Proteobacteria	2|1224	48.96967	0.05058	239692
k__Bacteria|p__Firmicutes	2|1239	13.71903	0.01417	39449
k__Archaea|p__Thaumarchaeota	2157|651137	10.3442	0.01068	15538
k__Bacteria|p__Fusobacteria	2|32066	8.97292	0.00927	15794
k__Bacteria|p__Nitrospirae	2|40117	8.79626	0.00909	26606
k__Bacteria|p__Bacteroidota	2|976	4.54988	0.0047	15066
k__Bacteria|p__Actinobacteria	2|201174	3.02058	0.00312	13671
k__Bacteria|p__Acidobacteria	2|57723	1.3771	0.00142	10712
k__Bacteria|p__Bacteria_unclassified	2|	0.19999	0.00021	699
k__Bacteria|p__Gemmatimonadetes	2|142182	0.05035	5e-05	191
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	17.76045	0.01835	77680
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	17.25806	0.01783	102184
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	10.3442	0.01068	15538
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	9.73694	0.01006	29076
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	8.98146	0.00928	37640
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	8.97292	0.00927	15794
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	5.77671	0.00597	18592
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	4.54988	0.0047	15066
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	3.02058	0.00312	13671
k__Bacteria|p__Nitrospirae|c__CFGB32184	2|40117|	3.01955	0.00312	8014
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.5663	0.00265	7111
k__Bacteria|p__Proteobacteria|c__CFGB49326	2|1224|	2.26934	0.00234	12993
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.60977	0.00166	4480
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.75236	0.00078	1496
k__Bacteria|p__Acidobacteria|c__CFGB5372	2|57723|	0.67531	0.0007	4439
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.66081	0.00068	3232
k__Bacteria|p__Firmicutes|c__CFGB1258	2|1239|	0.57922	0.0006	1592
k__Bacteria|p__Acidobacteria|c__CFGB72794	2|57723|	0.45105	0.00047	4990
k__Bacteria|p__Acidobacteria|c__CFGB34710	2|57723|	0.23328	0.00024	1138
k__Bacteria|p__Bacteria_unclassified|c__CFGB5367	2||	0.1809	0.00019	613
k__Bacteria|p__Proteobacteria|c__CFGB12955	2|1224|	0.16135	0.00017	449
k__Bacteria|p__Proteobacteria|c__CFGB52624	2|1224|	0.06307	7e-05	286
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	2|1224|2008785	0.06085	6e-05	206
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.05506	6e-05	92
k__Bacteria|p__Firmicutes|c__CFGB1349	2|1239|	0.05396	6e-05	112
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes_unclassified	2|142182|	0.05035	5e-05	191
k__Bacteria|p__Proteobacteria|c__CFGB22535	2|1224|	0.03876	4e-05	171
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	0.03025	3e-05	62
k__Bacteria|p__Proteobacteria|c__CFGB15779	2|1224|	0.02413	2e-05	165
k__Bacteria|p__Proteobacteria|c__CFGB15832	2|1224|	0.02168	2e-05	99
k__Bacteria|p__Bacteria_unclassified|c__CFGB44871	2||	0.01909	2e-05	86
k__Bacteria|p__Acidobacteria|c__CFGB3272	2|57723|	0.01747	2e-05	145
k__Bacteria|p__Proteobacteria|c__CFGB83766	2|1224|	0.00489	1e-05	15
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	17.27656	0.01785	76212
k__Bacteria|p__Proteobacteria|c__CFGB5371|o__OFGB5371	2|1224||	17.25806	0.01783	102184
k__Archaea|p__Thaumarchaeota|c__CFGB167|o__OFGB167	2157|651137||	10.3442	0.01068	15538
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	9.73694	0.01006	29076
k__Bacteria|p__Proteobacteria|c__CFGB33292|o__OFGB33292	2|1224||	8.98146	0.00928	37640
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	8.97292	0.00927	15794
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	5.77671	0.00597	18592
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	4.54988	0.0047	15066
k__Bacteria|p__Nitrospirae|c__CFGB32184|o__OFGB32184	2|40117||	3.01955	0.00312	8014
k__Bacteria|p__Proteobacteria|c__CFGB49326|o__OFGB49326	2|1224||	2.26934	0.00234	12993
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	2.10469	0.00217	8663
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.09594	0.00216	6038
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	1.60649	0.00166	4468
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.75236	0.00078	1496
k__Bacteria|p__Acidobacteria|c__CFGB5372|o__OFGB5372	2|57723||	0.67531	0.0007	4439
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.61479	0.00064	3064
k__Bacteria|p__Firmicutes|c__CFGB1258|o__OFGB1258	2|1239||	0.57922	0.0006	1592
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.47036	0.00049	1073
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	0.46487	0.00048	1501
k__Bacteria|p__Acidobacteria|c__CFGB72794|o__OFGB72794	2|57723||	0.45105	0.00047	4990
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	2|201174|1760|85008	0.41209	0.00043	3135
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.29678	0.00031	734
k__Bacteria|p__Acidobacteria|c__CFGB34710|o__OFGB34710	2|57723||	0.23328	0.00024	1138
k__Bacteria|p__Bacteria_unclassified|c__CFGB5367|o__OFGB5367	2|||	0.1809	0.00019	613
k__Bacteria|p__Proteobacteria|c__CFGB12955|o__OFGB12955	2|1224||	0.16135	0.00017	449
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	0.10817	0.00011	447
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.07895	8e-05	287
k__Bacteria|p__Proteobacteria|c__CFGB52624|o__OFGB52624	2|1224||	0.06307	7e-05	286
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilalia_unclassified	2|1224|2008785|	0.06085	6e-05	206
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.05506	6e-05	92
k__Bacteria|p__Firmicutes|c__CFGB1349|o__OFGB1349	2|1239||	0.05396	6e-05	112
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes_unclassified|o__Gemmatimonadetes_unclassified	2|142182||	0.05035	5e-05	191
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.04602	5e-05	168
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	2|201174|1760|85012	0.03892	4e-05	372
k__Bacteria|p__Proteobacteria|c__CFGB22535|o__OFGB22535	2|1224||	0.03876	4e-05	171
k__Bacteria|p__Firmicutes|c__CFGB1838|o__OFGB1838	2|1239||	0.03025	3e-05	62
k__Bacteria|p__Proteobacteria|c__CFGB15779|o__OFGB15779	2|1224||	0.02413	2e-05	165
k__Bacteria|p__Proteobacteria|c__CFGB15832|o__OFGB15832	2|1224||	0.02168	2e-05	99
k__Bacteria|p__Bacteria_unclassified|c__CFGB44871|o__OFGB44871	2|||	0.01909	2e-05	86
k__Bacteria|p__Acidobacteria|c__CFGB3272|o__OFGB3272	2|57723||	0.01747	2e-05	145
k__Bacteria|p__Proteobacteria|c__CFGB83766|o__OFGB83766	2|1224||	0.00489	1e-05	15
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	2|1224|1236|1775403	0.00328	0.0	12
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified|f__Betaproteobacteria_unclassified	2|1224|28216||	17.27656	0.01785	76212
k__Bacteria|p__Proteobacteria|c__CFGB5371|o__OFGB5371|f__FGB5371	2|1224|||	17.25806	0.01783	102184
k__Archaea|p__Thaumarchaeota|c__CFGB167|o__OFGB167|f__FGB167	2157|651137|||	10.3442	0.01068	15538
k__Bacteria|p__Proteobacteria|c__CFGB33292|o__OFGB33292|f__FGB33292	2|1224|||	8.98146	0.00928	37640
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	2|32066|203490|203491|203492	8.97292	0.00927	15794
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae	2|40117|203693|189778|189779	5.77671	0.00597	18592
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	5.03202	0.0052	13855
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	4.54988	0.0047	15066
k__Bacteria|p__Nitrospirae|c__CFGB32184|o__OFGB32184|f__FGB32184	2|40117|||	3.01955	0.00312	8014
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	2.53151	0.00261	8568
k__Bacteria|p__Proteobacteria|c__CFGB49326|o__OFGB49326|f__FGB49326	2|1224|||	2.26934	0.00234	12993
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	2.17341	0.00224	6653
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	2.09594	0.00216	6038
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2|1224|1236|72274|135621	1.60649	0.00166	4468
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae	2|201174|1760|85006|1268	1.2531	0.00129	4653
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Cellulomonadaceae	2|201174|1760|85006|85016	0.85159	0.00088	4010
