#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11670_under50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 21260786 -o reports_under50bp/MS11670_jun23_under50bp.metaphlan_profile.txt
#21260786 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:744574
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria|p__Proteobacteria|c__CFGB33292|o__OFGB33292	2|1224||	3.15363	0.00734	29732
k__Bacteria|p__Firmicutes|c__CFGB49311|o__OFGB49311	2|1239||	2.58819	0.00603	12178
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	2.38941	0.00556	17686
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	1.81063	0.00422	10225
k__Archaea|p__Thaumarchaeota|c__CFGB167|o__OFGB167	2157|651137||	1.5227	0.00355	5156
k__Bacteria|p__Proteobacteria|c__CFGB49326|o__OFGB49326	2|1224||	1.12431	0.00262	15095
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	1.04726	0.00244	5151
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.9106	0.00212	10449
k__Bacteria|p__Verrucomicrobia|c__CFGB79351|o__OFGB79351	2|74201||	0.78924	0.00184	3800
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	0.77426	0.0018	3390
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.4938	0.00115	2284
k__Bacteria|p__Firmicutes|c__CFGB1349|o__OFGB1349	2|1239||	0.39612	0.00092	1866
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2|1224|28221|29	0.32355	0.00075	4243
k__Bacteria|p__Firmicutes|c__CFGB79015|o__OFGB79015	2|1239||	0.30409	0.00071	1571
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	2|976|117747|200666	0.29068	0.00068	2932
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.20303	0.00047	964
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	0.20238	0.00047	1889
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.19329	0.00045	959
k__Bacteria|p__Bacteroidota|c__CFGB629|o__OFGB629	2|976||	0.19086	0.00044	1210
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.18161	0.00042	1533
k__Bacteria|p__Acidobacteria|c__CFGB5372|o__OFGB5372	2|57723||	0.16725	0.00039	2533
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776	2|1239||	0.13689	0.00032	412
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.11932	0.00028	563
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.09519	0.00022	1365
k__Bacteria|p__Firmicutes|c__CFGB4541|o__OFGB4541	2|1239||	0.0863	0.0002	581
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	0.08307	0.00019	800
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.08206	0.00019	708
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	2|1224|1236|135622	0.07005	0.00016	851
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2|1224|1236|2887326	0.06234	0.00015	377
k__Bacteria|p__Acidobacteria|c__CFGB34710|o__OFGB34710	2|57723||	0.05577	0.00013	735
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.0388	9e-05	288
k__Bacteria|p__Bacteroidota|c__CFGB653|o__OFGB653	2|976||	0.03846	9e-05	179
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes_unclassified|o__Gemmatimonadetes_unclassified	2|142182||	0.03613	8e-05	315
k__Bacteria|p__Tenericutes|c__CFGB1772|o__OFGB1772	2|544448||	0.03526	8e-05	113
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	0.02579	6e-05	162
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.02457	6e-05	137
k__Bacteria|p__Proteobacteria|c__CFGB15779|o__OFGB15779	2|1224||	0.02264	5e-05	348
k__Bacteria|p__Bacteroidota|c__CFGB628|o__OFGB628	2|976||	0.01567	4e-05	97
k__Bacteria|p__Firmicutes|c__CFGB1288|o__OFGB1288	2|1239||	0.01325	3e-05	63
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.00765	2e-05	60
k__Bacteria|p__Proteobacteria|c__CFGB22535|o__OFGB22535	2|1224||	0.00658	2e-05	65
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilalia_unclassified	2|1224|2008785|	0.00576	1e-05	43
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	14.13241	0.03291	108638
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	12.95268	0.03016	91471
k__Bacteria|p__Firmicutes|c__CFGB1838|o__OFGB1838|f__FGB1838	2|1239|||	10.85591	0.02528	50738
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	2|976|117743|200644|49546	8.96216	0.02087	101078
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2|1224|1236|72274|135621	8.03404	0.01871	52013
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified|f__Betaproteobacteria_unclassified	2|1224|28216||	5.59852	0.01304	51001
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	5.38934	0.01255	22430
k__Bacteria|p__Proteobacteria|c__CFGB5371|o__OFGB5371|f__FGB5371	2|1224|||	4.96869	0.01157	66297
