#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11676_under50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 44088490 -o reports_under50bp/MS11676_jun23_under50bp.metaphlan_profile.txt
#44088490 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2956839
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	97.97681	1.15378	2921230
k__Archaea	2157	2.02319	0.02383	35609
k__Bacteria|p__Fusobacteria	2|32066	44.40433	0.52291	942544
k__Bacteria|p__Firmicutes	2|1239	25.44692	0.29966	854398
k__Bacteria|p__Proteobacteria	2|1224	16.60007	0.19548	671181
k__Bacteria|p__Bacteroidota	2|976	8.98822	0.10585	350406
k__Bacteria|p__Actinobacteria	2|201174	2.11565	0.02491	88041
k__Archaea|p__Thaumarchaeota	2157|651137	1.91088	0.0225	33306
k__Bacteria|p__Nitrospirae	2|40117	0.34884	0.00411	12389
k__Archaea|p__Euryarchaeota	2157|28890	0.11231	0.00132	2303
k__Bacteria|p__Verrucomicrobia	2|74201	0.06325	0.00074	1540
k__Bacteria|p__Acidobacteria	2|57723	0.00954	0.00011	731
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	43.88205	0.51676	928806
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	21.06123	0.24802	719619
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	8.52764	0.10042	407715
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	7.42189	0.0874	269857
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	7.11487	0.08379	211117
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.11287	0.02488	71853
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	1.8865	0.02222	32306
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.52783	0.01799	75095
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	1.4986	0.01765	77881
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.4918	0.01757	42291
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.58782	0.00692	12946
k__Bacteria|p__Fusobacteria|c__CFGB79089	2|32066|	0.52228	0.00615	13738
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	0.41432	0.00488	28249
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.27286	0.00321	10090
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.27221	0.00321	5874
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.18232	0.00215	3537
k__Bacteria|p__Firmicutes|c__CFGB9725	2|1239|	0.16386	0.00193	4036
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.15252	0.0018	5180
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	0.14799	0.00174	7068
k__Bacteria|p__Proteobacteria|c__CFGB49326	2|1224|	0.14283	0.00168	9269
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.11231	0.00132	2303
k__Bacteria|p__Firmicutes|c__CFGB1258	2|1239|	0.10525	0.00124	3299
k__Bacteria|p__Nitrospirae|c__CFGB32184	2|40117|	0.07598	0.00089	2299
k__Bacteria|p__Verrucomicrobia|c__CFGB79351	2|74201|	0.06325	0.00074	1540
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.04694	0.00055	2665
k__Bacteria|p__Firmicutes|c__CFGB49311	2|1239|	0.0418	0.00049	994
k__Bacteria|p__Bacteroidota|c__CFGB628	2|976|	0.03405	0.0004	1068
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.02993	0.00035	825
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.02675	0.00032	1364
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	0.02439	0.00029	1000
k__Bacteria|p__Firmicutes|c__CFGB8287	2|1239|	0.01544	0.00018	427
k__Bacteria|p__Proteobacteria|c__CFGB77407	2|1224|	0.01322	0.00016	903
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00992	0.00012	658
k__Bacteria|p__Acidobacteria|c__CFGB5372	2|57723|	0.00954	0.00011	731
k__Bacteria|p__Bacteroidota|c__CFGB658	2|976|	0.00691	8e-05	236
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	43.88205	0.51676	928806
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	21.06123	0.24802	719619
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	7.42189	0.0874	269857
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	6.38124	0.07515	183560
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	4.9432	0.05821	274205
k__Archaea|p__Thaumarchaeota|c__CFGB167|o__OFGB167	2157|651137||	1.8865	0.02222	32306
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2|1224|1236|2887326	1.80361	0.02124	66577
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	1.66228	0.01958	57127
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	1.4986	0.01765	77881
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.4918	0.01757	42291
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	1.35236	0.01593	48642
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	0.71972	0.00848	30984
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.58782	0.00692	12946
k__Bacteria|p__Fusobacteria|c__CFGB79089|o__OFGB79089	2|32066||	0.52228	0.00615	13738
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	0.45811	0.00539	16822
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.45059	0.00531	14726
k__Bacteria|p__Proteobacteria|c__CFGB5371|o__OFGB5371	2|1224||	0.41432	0.00488	28249
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	0.37456	0.00441	18487
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.35063	0.00413	8820
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	0.27286	0.00321	10090
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.27221	0.00321	5874
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	2|201174|1760|85008	0.25793	0.00304	22373
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.18232	0.00215	3537
k__Bacteria|p__Firmicutes|c__CFGB9725|o__OFGB9725	2|1239||	0.16386	0.00193	4036
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.15252	0.0018	5180
k__Bacteria|p__Proteobacteria|c__CFGB33292|o__OFGB33292	2|1224||	0.14799	0.00174	7068
k__Bacteria|p__Proteobacteria|c__CFGB49326|o__OFGB49326	2|1224||	0.14283	0.00168	9269
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.13995	0.00165	4891
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	2|1224|1236|135622	0.13232	0.00156	6790
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.11231	0.00132	2303
k__Bacteria|p__Firmicutes|c__CFGB1258|o__OFGB1258	2|1239||	0.10525	0.00124	3299
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	0.09515	0.00112	4173
k__Bacteria|p__Nitrospirae|c__CFGB32184|o__OFGB32184	2|40117||	0.07598	0.00089	2299
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	2|201174|1760|85011	0.06492	0.00076	2895
k__Bacteria|p__Verrucomicrobia|c__CFGB79351|o__OFGB79351	2|74201||	0.06325	0.00074	1540
k__Bacteria|p__Firmicutes|c__CFGB49311|o__OFGB49311	2|1239||	0.0418	0.00049	994
k__Bacteria|p__Bacteroidota|c__CFGB628|o__OFGB628	2|976||	0.03405	0.0004	1068
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	0.02993	0.00035	825
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	2|201174|1760|85012	0.02715	0.00032	2021
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	2|1224|1236|135619	0.02681	0.00032	1216
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.02681	0.00032	1757
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	2|976|117747|200666	0.02675	0.00032	1364
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales	2157|651137|1643678|1033996	0.02439	0.00029	1000
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.02371	0.00028	930
k__Bacteria|p__Firmicutes|c__CFGB8287|o__OFGB8287	2|1239||	0.01544	0.00018	427
k__Bacteria|p__Proteobacteria|c__CFGB77407|o__OFGB77407	2|1224||	0.01322	0.00016	903
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.01313	0.00015	665
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.01053	0.00012	291
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2|1224|28221|29	0.00992	0.00012	658
k__Bacteria|p__Acidobacteria|c__CFGB5372|o__OFGB5372	2|57723||	0.00954	0.00011	731
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	0.00845	0.0001	250
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	0.007	8e-05	243
k__Bacteria|p__Bacteroidota|c__CFGB658|o__OFGB658	2|976||	0.00691	8e-05	236
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	2|32066|203490|203491|203492	43.88205	0.51676	928806
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	9.59879	0.11304	316609
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	7.4125	0.08729	269292
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	5.90663	0.06956	160791
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	5.83585	0.06872	197260
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	3.89908	0.04592	225581
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	3.56775	0.04201	150521
k__Archaea|p__Thaumarchaeota|c__CFGB167|o__OFGB167|f__FGB167	2157|651137|||	1.8865	0.02222	32306
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	2|1224|1236|2887326|468	1.80361	0.02124	66577
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	1.72946	0.02037	47937
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	1.40348	0.01653	38999
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	2|976|117743|200644|49546	1.38935	0.01636	73716
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2|1224|1236|72274|135621	1.35236	0.01593	48642
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae	2|1224|1236|91347|1903414	1.04412	0.0123	48624
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2|1239|91061|1385|90964	0.92929	0.01094	28852
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae	2|1239|91061|1385|186818	0.64223	0.00756	23982
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.58782	0.00692	12946
k__Bacteria|p__Fusobacteria|c__CFGB79089|o__OFGB79089|f__FGB79089	2|32066|||	0.52228	0.00615	13738
