#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11678_under50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 39290741 -o reports_under50bp/MS11678_jun23_under50bp.metaphlan_profile.txt
#39290741 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2729004
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	96.08662	0.98303	2669286
k__Archaea	2157	3.91338	0.04004	59718
k__Bacteria|p__Firmicutes	2|1239	34.58665	0.35384	881241
k__Bacteria|p__Fusobacteria	2|32066	24.83817	0.25411	487482
k__Bacteria|p__Bacteroidota	2|976	17.55456	0.17959	614504
k__Bacteria|p__Proteobacteria	2|1224	15.19726	0.15548	528002
k__Archaea|p__Thaumarchaeota	2157|651137	3.40511	0.03484	50660
k__Bacteria|p__Actinobacteria	2|201174	2.32991	0.02384	111926
k__Bacteria|p__Nitrospirae	2|40117	0.90784	0.00929	29660
k__Archaea|p__Euryarchaeota	2157|28890	0.50828	0.0052	9058
k__Bacteria|p__Spirochaetes	2|203691	0.22113	0.00226	5414
k__Bacteria|p__Lentisphaerae	2|256845	0.21827	0.00223	6981
k__Bacteria|p__Tenericutes	2|544448	0.14897	0.00152	2112
k__Bacteria|p__Verrucomicrobia	2|74201	0.05032	0.00051	1064
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.02201	0.00023	458
k__Bacteria|p__Acidobacteria	2|57723	0.00832	9e-05	335
k__Bacteria|p__Gemmatimonadetes	2|142182	0.00322	3e-05	107
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	18.83492	0.19269	350295
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	14.36453	0.14696	429257
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	13.48713	0.13798	487975
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	7.37113	0.07541	151356
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	7.22161	0.07388	218185
k__Bacteria|p__Fusobacteria|c__CFGB79089	2|32066|	6.00325	0.06142	137187
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	4.95378	0.05068	188016
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.3373	0.04437	101950
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	3.40511	0.03484	50660
k__Bacteria|p__Firmicutes|c__CFGB49311	2|1239|	2.27949	0.02332	47121
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.07044	0.02118	106515
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.97608	0.02022	57822
k__Bacteria|p__Bacteroidota|c__CFGB11391	2|976|	0.92579	0.00947	28615
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.90784	0.00929	29660
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	0.80227	0.00821	46983
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.76221	0.0078	19378
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.68711	0.00703	11513
k__Bacteria|p__Bacteroidota|c__CFGB11479	2|976|	0.64669	0.00662	20196
k__Bacteria|p__Firmicutes|c__CFGB79015	2|1239|	0.60715	0.00621	13786
k__Bacteria|p__Bacteroidota|c__CFGB653	2|976|	0.58471	0.00598	12016
k__Bacteria|p__Bacteroidota|c__CFGB1458	2|976|	0.57383	0.00587	18799
k__Bacteria|p__Firmicutes|c__CFGB1778	2|1239|	0.56212	0.00575	7391
k__Bacteria|p__Bacteroidota|c__CFGB7511	2|976|	0.5416	0.00554	18996
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	0.51126	0.00523	21252
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.50828	0.0052	9058
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.39257	0.00402	10319
k__Bacteria|p__Proteobacteria|c__CFGB77603	2|1224|	0.3902	0.00399	18124
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.29965	0.00307	14810
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.25053	0.00256	5244
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.22113	0.00226	5414
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.2124	0.00217	4676
k__Bacteria|p__Bacteroidota|c__CFGB629	2|976|	0.1913	0.00196	5405
k__Bacteria|p__Bacteroidota|c__CFGB544	2|976|	0.17184	0.00176	5779
k__Bacteria|p__Lentisphaerae|c__CFGB10083	2|256845|	0.15511	0.00159	4024
k__Bacteria|p__Firmicutes|c__CFGB2947	2|1239|	0.14988	0.00153	3272
k__Bacteria|p__Tenericutes|c__CFGB1772	2|544448|	0.14897	0.00152	2112
k__Bacteria|p__Firmicutes|c__CFGB77365	2|1239|	0.14369	0.00147	4985
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.13344	0.00137	2882
k__Bacteria|p__Firmicutes|c__CFGB2867	2|1239|	0.13091	0.00134	2479
k__Bacteria|p__Bacteroidota|c__CFGB4405	2|976|	0.12936	0.00132	3667
k__Bacteria|p__Firmicutes|c__CFGB1258	2|1239|	0.12509	0.00128	3406
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.12218	0.00125	1617
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	0.12202	0.00125	1758
k__Bacteria|p__Firmicutes|c__CFGB3625	2|1239|	0.11042	0.00113	3470
k__Bacteria|p__Bacteroidota|c__CFGB628	2|976|	0.098	0.001	2671
k__Bacteria|p__Firmicutes|c__CFGB10312	2|1239|	0.08995	0.00092	1208
k__Bacteria|p__Firmicutes|c__CFGB1337	2|1239|	0.08975	0.00092	1902
k__Bacteria|p__Bacteroidota|c__Chitinophagia	2|976|1853228	0.08202	0.00084	5987
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	0.08167	0.00084	1661
k__Bacteria|p__Firmicutes|c__CFGB78857	2|1239|	0.07478	0.00077	2248
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.07402	0.00076	1606
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.06962	0.00071	2993
k__Bacteria|p__Firmicutes|c__CFGB2837	2|1239|	0.06808	0.0007	1576
k__Bacteria|p__Proteobacteria|c__CFGB8587	2|1224|	0.06478	0.00066	999
k__Bacteria|p__Bacteroidota|c__CFGB658	2|976|	0.05864	0.0006	1743
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	0.05054	0.00052	975
k__Bacteria|p__Verrucomicrobia|c__CFGB79351	2|74201|	0.05032	0.00051	1064
