#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11770_under50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 27043303 -o reports_under50bp/MS11770_jun23_under50bp.metaphlan_profile.txt
#27043303 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:927311
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	96.90517	0.23838	914635
k__Archaea	2157	3.09483	0.00761	12676
k__Bacteria|p__Proteobacteria	2|1224	43.78673	0.10771	498462
k__Bacteria|p__Firmicutes	2|1239	23.4411	0.05766	159760
k__Bacteria|p__Actinobacteria	2|201174	9.97872	0.02455	109100
k__Bacteria|p__Bacteroidota	2|976	9.21586	0.02267	87458
k__Bacteria|p__Fusobacteria	2|32066	6.75638	0.01662	30473
k__Bacteria|p__Nitrospirae	2|40117	3.54518	0.00872	27518
k__Archaea|p__Euryarchaeota	2157|28890	2.26709	0.00558	9715
k__Archaea|p__Thaumarchaeota	2157|651137	0.82773	0.00204	2961
k__Bacteria|p__Acidobacteria	2|57723	0.07778	0.00019	1016
k__Bacteria|p__Bacteria_unclassified	2|	0.06275	0.00015	642
k__Bacteria|p__Verrucomicrobia	2|74201	0.04067	0.0001	206
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	21.02917	0.05173	217696
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	15.09452	0.03713	111624
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	9.93868	0.02445	108884
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	9.53811	0.02346	136567
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	8.23619	0.02026	94302
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	6.75638	0.01662	30473
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	6.57157	0.01617	36409
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	4.62149	0.01137	45240
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	4.29937	0.01058	39322
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	3.54518	0.00872	27518
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	3.0859	0.00759	30750
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	2.26709	0.00558	9715
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.09753	0.0027	7796
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.97679	0.0024	9346
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	0.82773	0.00204	2961
k__Bacteria|p__Proteobacteria|c__CFGB49326	2|1224|	0.41248	0.00101	5599
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	0.31347	0.00077	1547
k__Bacteria|p__Firmicutes|c__CFGB1258	2|1239|	0.29308	0.00072	1919
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.29189	0.00072	2895
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.1567	0.00039	624
k__Bacteria|p__Bacteroidota|c__CFGB628	2|976|	0.15517	0.00038	1016
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.13982	0.00034	1880
k__Bacteria|p__Acidobacteria|c__CFGB5372	2|57723|	0.07457	0.00018	968
k__Bacteria|p__Bacteria_unclassified|c__CFGB44871	2||	0.06275	0.00015	642
k__Bacteria|p__Verrucomicrobia|c__CFGB79351	2|74201|	0.04067	0.0001	206
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.04003	0.0001	216
k__Bacteria|p__Proteobacteria|c__CFGB15832	2|1224|	0.03371	8e-05	369
k__Bacteria|p__Firmicutes|c__CFGB77365	2|1239|	0.02628	6e-05	219
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.02066	5e-05	124
k__Bacteria|p__Firmicutes|c__CFGB1288	2|1239|	0.01954	5e-05	98
k__Bacteria|p__Proteobacteria|c__CFGB15779	2|1224|	0.01306	3e-05	212
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	2|1224|2008785	0.01273	3e-05	102
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.00445	1e-05	24
k__Bacteria|p__Acidobacteria|c__CFGB34710	2|57723|	0.00321	1e-05	48
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	15.09452	0.03713	111624
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	14.26292	0.03509	145238
k__Bacteria|p__Proteobacteria|c__CFGB5371|o__OFGB5371	2|1224||	9.53811	0.02346	136567
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	7.58899	0.01867	78867
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	6.75638	0.01662	30473
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	6.69941	0.01648	71887
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	6.57157	0.01617	36409
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	6.3155	0.01554	71569
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	4.62149	0.01137	45240
