#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11674_under50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 29401446 -o reports_under50bp/MS11674_jun23_under50bp.metaphlan_profile.txt
#29401446 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:855802
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	96.57559	0.29426	840629
k__Archaea	2157	3.42441	0.01043	15173
k__Bacteria|p__Firmicutes	2|1239	54.91636	0.16733	479670
k__Bacteria|p__Proteobacteria	2|1224	25.52053	0.07776	265941
k__Bacteria|p__Fusobacteria	2|32066	12.31496	0.03752	60488
k__Archaea|p__Thaumarchaeota	2157|651137	3.42441	0.01043	15173
k__Bacteria|p__Actinobacteria	2|201174	1.82606	0.00556	15372
k__Bacteria|p__Bacteroidota	2|976	1.45203	0.00442	13643
k__Bacteria|p__Nitrospirae	2|40117	0.53608	0.00163	5292
k__Bacteria|p__Acidobacteria	2|57723	0.00958	3e-05	223
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	31.25362	0.09523	307764
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	23.64523	0.07205	171809
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	14.44455	0.04401	175379
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	12.31496	0.03752	60488
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	8.59157	0.02618	66547
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	3.42441	0.01043	15173
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	1.45203	0.00442	13643
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	1.3206	0.00402	6586
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.09823	0.00335	10944
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.72783	0.00222	4428
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	0.55736	0.0017	6873
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.53608	0.00163	5292
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	0.48112	0.00147	8394
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.1176	0.00036	2018
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.0175	5e-05	97
k__Bacteria|p__Acidobacteria|c__CFGB26132	2|57723|	0.00958	3e-05	223
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.00772	2e-05	144
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	31.25362	0.09523	307764
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	20.82102	0.06344	148653
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	12.31496	0.03752	60488
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	7.68666	0.02342	115671
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	6.51046	0.01984	45811
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	3.74031	0.0114	30725
k__Archaea|p__Thaumarchaeota|c__CFGB167|o__OFGB167	2157|651137||	3.42441	0.01043	15173
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	2.82421	0.00861	23156
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2|1224|1236|2887326	1.47927	0.00451	13825
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	1.45203	0.00442	13643
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	1.3206	0.00402	6586
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	1.19496	0.00364	15045
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.88616	0.0027	5691
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.83649	0.00255	5969
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.72783	0.00222	4428
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	0.71828	0.00219	6842
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	2|1224|1236|135622	0.70183	0.00214	9189
k__Bacteria|p__Proteobacteria|c__CFGB33292|o__OFGB33292	2|1224||	0.55736	0.0017	6873
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	0.53608	0.00163	5292
k__Bacteria|p__Proteobacteria|c__CFGB5371|o__OFGB5371	2|1224||	0.48112	0.00147	8394
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	0.35853	0.00109	3934
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2|1224|28221|29	0.1176	0.00036	2018
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.02141	7e-05	168
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.0175	5e-05	97
k__Bacteria|p__Acidobacteria|c__CFGB26132|o__OFGB26132	2|57723||	0.00958	3e-05	223
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.00772	2e-05	144
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	19.71497	0.06007	200254
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	13.70156	0.04175	86357
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	2|32066|203490|203491|203492	12.30649	0.0375	60447
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	11.00174	0.03352	102559
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	7.68666	0.02342	115671
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	7.11947	0.02169	62296
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	6.51046	0.01984	45811
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2|1224|1236|72274|135621	3.74031	0.0114	30725
k__Archaea|p__Thaumarchaeota|c__CFGB167|o__OFGB167|f__FGB167	2157|651137|||	3.42441	0.01043	15173
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2|1239|91061|1385|90964	2.25455	0.00687	18939
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	2|1224|1236|2887326|468	1.47927	0.00451	13825
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	1.45203	0.00442	13643
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	2|1224|29547|213849|72293	1.3206	0.00402	6586
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified|f__Betaproteobacteria_unclassified	2|1224|28216||	1.19496	0.00364	15045
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	2|1224|28216|206351|481	0.88616	0.0027	5691
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	2|1224|1236|135625|712	0.83649	0.00255	5969
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.72783	0.00222	4428
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	2|201174|1760|85007|1653	0.71828	0.00219	6842
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae	2|1224|1236|135622|267890	0.70183	0.00214	9189
k__Bacteria|p__Proteobacteria|c__CFGB33292|o__OFGB33292|f__FGB33292	2|1224|||	0.55736	0.0017	6873
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	0.53691	0.00164	4951
