#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11686_under50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 25848236 -o reports_under50bp/MS11686_jun23_under50bp.metaphlan_profile.txt
#25848236 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1642760
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	91.13351	0.53095	1567057
k__Archaea	2157	8.86649	0.05166	75703
k__Bacteria|p__Firmicutes	2|1239	34.16296	0.19904	575531
k__Bacteria|p__Fusobacteria	2|32066	20.74845	0.12088	201596
k__Bacteria|p__Bacteroidota	2|976	18.51257	0.10786	406200
k__Bacteria|p__Proteobacteria	2|1224	12.21354	0.07116	224013
k__Archaea|p__Thaumarchaeota	2157|651137	8.86649	0.05166	75703
k__Bacteria|p__Actinobacteria	2|201174	3.80819	0.02219	127896
k__Bacteria|p__Nitrospirae	2|40117	1.61883	0.00943	29529
k__Bacteria|p__Acidobacteria	2|57723	0.06254	0.00036	2261
k__Bacteria|p__Tenericutes	2|544448	0.00643	4e-05	31
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	25.79515	0.15029	462088
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	20.74845	0.12088	201596
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	18.47897	0.10766	405010
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	8.8172	0.05137	74703
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	4.09502	0.02386	39186
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	3.65727	0.02131	66361
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.91977	0.01701	117495
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	2.52387	0.0147	22357
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	2.14881	0.01252	60449
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	1.86626	0.01087	25473
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	1.56874	0.00914	37005
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.5531	0.00905	25571
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.28247	0.00747	23367
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.92841	0.00541	13197
