#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11675_under50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 48303933 -o reports_under50bp/MS11675_jun23_under50bp.metaphlan_profile.txt
#48303933 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:5574824
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	96.76265	1.76117	5489115
k__Archaea	2157	3.23735	0.05892	85709
k__Bacteria|p__Firmicutes	2|1239	35.07543	0.6384	1826714
k__Bacteria|p__Proteobacteria	2|1224	25.20274	0.45871	1838537
k__Bacteria|p__Fusobacteria	2|32066	20.23351	0.36827	660648
k__Bacteria|p__Actinobacteria	2|201174	7.92408	0.14423	638162
k__Bacteria|p__Bacteroidota	2|976	7.4666	0.1359	475758
k__Archaea|p__Thaumarchaeota	2157|651137	3.23735	0.05892	85709
k__Bacteria|p__Nitrospirae	2|40117	0.8329	0.01516	46011
k__Bacteria|p__Acidobacteria	2|57723	0.0271	0.00049	3263
k__Bacteria|p__Bacteria_unclassified	2|	0.0003	1e-05	22
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	23.59661	0.42948	1308876
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	20.22595	0.36813	660341
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	18.13396	0.33005	1362980
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	7.20557	0.13115	353257
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	6.7979	0.12373	596423
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	6.18015	0.11248	385559
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	4.90755	0.08932	308930
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	3.22881	0.05877	85461
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	1.14888	0.02091	31794
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.12618	0.0205	41739
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.87311	0.01589	33329
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.85616	0.01558	50528
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	0.78802	0.01434	82831
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.67183	0.01223	38478
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	0.60913	0.01109	44932
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.57308	0.01043	24436
k__Bacteria|p__Firmicutes|c__CFGB75497	2|1239|	0.52972	0.00964	19903
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.51616	0.00939	27975
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.39248	0.00714	12818
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.36262	0.0066	36386
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.21591	0.00393	12448
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.17451	0.00318	5817
k__Bacteria|p__Firmicutes|c__CFGB9725	2|1239|	0.17063	0.00311	6495
k__Bacteria|p__Nitrospirae|c__CFGB32184	2|40117|	0.16107	0.00293	7533
k__Bacteria|p__Firmicutes|c__CFGB1258	2|1239|	0.11426	0.00208	5536
k__Bacteria|p__Firmicutes|c__CFGB72939	2|1239|	0.11141	0.00203	5998
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.10424	0.0019	10684
k__Bacteria|p__Bacteroidota|c__CFGB628	2|976|	0.06341	0.00115	3074
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.03373	0.00061	1605
k__Bacteria|p__Proteobacteria|c__CFGB10055	2|1224|	0.02879	0.00052	839
k__Bacteria|p__Firmicutes|c__CFGB77365	2|1239|	0.02716	0.00049	1676
k__Bacteria|p__Proteobacteria|c__CFGB49326	2|1224|	0.01696	0.00031	1710
k__Bacteria|p__Acidobacteria|c__CFGB5372	2|57723|	0.01529	0.00028	1775
k__Bacteria|p__Acidobacteria|c__CFGB52975	2|57723|	0.01001	0.00018	1288
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.00853	0.00016	248
k__Bacteria|p__Fusobacteria|c__CFGB79089	2|32066|	0.00757	0.00014	307
k__Bacteria|p__Bacteroidota|c__CFGB629	2|976|	0.00427	8e-05	211
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	2|1224|2008785	0.00368	7e-05	219
k__Bacteria|p__Acidobacteria|c__CFGB34710	2|57723|	0.0018	3e-05	200
k__Bacteria|p__Proteobacteria|c__CFGB22535	2|1224|	0.00113	2e-05	87
k__Bacteria|p__Proteobacteria|c__CFGB14846	2|1224|	0.0009	2e-05	59
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.0006	1e-05	17
k__Bacteria|p__Bacteria_unclassified|c__CFGB44871	2||	0.0003	1e-05	22
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	23.59661	0.42948	1308876
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	20.22595	0.36813	660341
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	6.18015	0.11248	385559
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2|1224|1236|2887326	5.8901	0.10721	336492
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	5.31993	0.09683	409587
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	4.65528	0.08473	392147
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	4.08956	0.07443	372278
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	4.02028	0.07317	178408
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	3.36072	0.06117	198303
k__Archaea|p__Thaumarchaeota|c__CFGB167|o__OFGB167	2157|651137||	3.22881	0.05877	85461
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	3.18529	0.05798	174849
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	2|1224|1236|135622	2.45954	0.04477	193623
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	1.46655	0.02669	107256
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	1.17477	0.02138	147274
k__Bacteria|p__Firmicutes|c__CFGB9119|o__OFGB9119	2|1239||	1.14888	0.02091	31794
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.07582	0.01958	39662
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	0.9744	0.01774	64940
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.87311	0.01589	33329
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.85616	0.01558	50528
k__Bacteria|p__Proteobacteria|c__CFGB5371|o__OFGB5371	2|1224||	0.78802	0.01434	82831
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	0.67146	0.01222	38443
k__Bacteria|p__Proteobacteria|c__CFGB33292|o__OFGB33292	2|1224||	0.60913	0.01109	44932
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	0.57308	0.01043	24436
k__Bacteria|p__Firmicutes|c__CFGB75497|o__OFGB75497	2|1239||	0.52972	0.00964	19903
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.51616	0.00939	27975
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.39248	0.00714	12818
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	2|976|117747|200666	0.36262	0.0066	36386
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	2|201174|1760|85011	0.21334	0.00388	33927
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	0.18665	0.0034	10030
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.17451	0.00318	5817
k__Bacteria|p__Firmicutes|c__CFGB9725|o__OFGB9725	2|1239||	0.17063	0.00311	6495
k__Bacteria|p__Nitrospirae|c__CFGB32184|o__OFGB32184	2|40117||	0.16107	0.00293	7533
k__Bacteria|p__Firmicutes|c__CFGB1258|o__OFGB1258	2|1239||	0.11426	0.00208	5536
k__Bacteria|p__Firmicutes|c__CFGB72939|o__OFGB72939	2|1239||	0.11141	0.00203	5998
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2|1224|28221|29	0.10424	0.0019	10684
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.06868	0.00125	2624
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.06483	0.00118	2338
k__Bacteria|p__Bacteroidota|c__CFGB628|o__OFGB628	2|976||	0.06341	0.00115	3074
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.05036	0.00092	2077
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.03504	0.00064	2215
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	2|1239||	0.03373	0.00061	1605
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.03002	0.00055	1285
k__Bacteria|p__Proteobacteria|c__CFGB10055|o__OFGB10055	2|1224||	0.02879	0.00052	839
k__Bacteria|p__Firmicutes|c__CFGB77365|o__OFGB77365	2|1239||	0.02716	0.00049	1676
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.02098	0.00038	1620
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	2|201174|1760|85008	0.02074	0.00038	2772
k__Bacteria|p__Proteobacteria|c__CFGB49326|o__OFGB49326	2|1224||	0.01696	0.00031	1710
k__Bacteria|p__Acidobacteria|c__CFGB5372|o__OFGB5372	2|57723||	0.01529	0.00028	1775
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.01141	0.00021	734
k__Bacteria|p__Acidobacteria|c__CFGB52975|o__OFGB52975	2|57723||	0.01001	0.00018	1288
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales	2157|651137||31932	0.00853	0.00016	248
k__Bacteria|p__Fusobacteria|c__CFGB79089|o__OFGB79089	2|32066||	0.00757	0.00014	307
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.00445	8e-05	498
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	2|201174|1760|85012	0.00428	8e-05	525
k__Bacteria|p__Bacteroidota|c__CFGB629|o__OFGB629	2|976||	0.00427	8e-05	211
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.00383	7e-05	300
