#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11774_under50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 45864468 -o reports_under50bp/MS11774_jun23_under50bp.metaphlan_profile.txt
#45864468 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2854313
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.60551	0.98713	2848628
k__Archaea	2157	0.39449	0.00391	5685
k__Bacteria|p__Firmicutes	2|1239	32.24673	0.31958	882218
k__Bacteria|p__Fusobacteria	2|32066	27.46194	0.27216	491483
k__Bacteria|p__Bacteroidota	2|976	20.7815	0.20595	802069
k__Bacteria|p__Proteobacteria	2|1224	12.71234	0.12598	447432
k__Bacteria|p__Verrucomicrobia	2|74201	3.20601	0.03177	65708
k__Bacteria|p__Actinobacteria	2|201174	1.92293	0.01906	115158
k__Bacteria|p__Nitrospirae	2|40117	1.15619	0.01146	37179
k__Archaea|p__Thaumarchaeota	2157|651137	0.39449	0.00391	5685
k__Bacteria|p__Acidobacteria	2|57723	0.11787	0.00117	7381
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	27.46194	0.27216	491483
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	21.05831	0.2087	596262
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	20.57242	0.20388	796021
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	7.12043	0.07057	212918
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	4.59174	0.04551	129423
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	3.22526	0.03196	133369
k__Bacteria|p__Verrucomicrobia|c__CFGB79351	2|74201|	3.20601	0.03177	65708
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	2.74275	0.02718	63625
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.72765	0.01712	111430
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	1.15619	0.01146	37179
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	0.98544	0.00977	56346
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.78837	0.00781	17680
k__Bacteria|p__Firmicutes|c__CFGB1258	2|1239|	0.74286	0.00736	19599
k__Bacteria|p__Firmicutes|c__CFGB75497	2|1239|	0.62377	0.00618	12761
