#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11669_under50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 46541918 -o reports_under50bp/MS11669_jun23_under50bp.metaphlan_profile.txt
#46541918 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1555435
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	95.16477	0.43987	1522935
k__Archaea	2157	4.83523	0.02235	32500
k__Bacteria|p__Proteobacteria	2|1224	64.88788	0.29992	970623
k__Bacteria|p__Nitrospirae	2|40117	9.58177	0.04429	152402
k__Bacteria|p__Actinobacteria	2|201174	8.62553	0.03987	211799
k__Bacteria|p__Firmicutes	2|1239	7.22061	0.03337	112366
k__Archaea|p__Thaumarchaeota	2157|651137	4.83523	0.02235	32500
k__Bacteria|p__Bacteroidota	2|976	3.34964	0.01548	52609
k__Bacteria|p__Fusobacteria	2|32066	0.93425	0.00432	7631
k__Bacteria|p__Acidobacteria	2|57723	0.47036	0.00217	13837
k__Bacteria|p__Bacteria_unclassified	2|	0.03211	0.00015	476
k__Bacteria|p__Gemmatimonadetes	2|142182	0.03063	0.00014	515
k__Bacteria|p__Verrucomicrobia	2|74201	0.03042	0.00014	665
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00157	1e-05	12
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	39.74659	0.18372	446862
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	11.14595	0.05152	210986
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	9.47976	0.04382	151191
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	8.62553	0.03987	211799
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	4.91339	0.02271	131103
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	4.83523	0.02235	32500
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	4.47062	0.02066	67211
