read_length,MS11669,MS11670,MS11673,MS11674,MS11675,MS11676,MS11677,MS11678,MS11679,MS11683,MS11684,MS11686,MS11770,MS11771,MS11774,MS11775
81,14935,26391,24223,19730,80888,157004,78533,84664,187903,146751,115225,231849,28068,40382,31865,16488
82,14852,26784,23601,18983,82071,151051,74283,83937,183764,142081,112893,223013,29213,40185,31312,15655
83,14626,28122,22957,18465,84972,147107,73340,85467,184303,137909,113940,215876,32291,39947,32294,15313
84,14288,25691,21104,16430,78230,133758,66164,78675,170435,125893,103927,197854,29305,36903,30153,14098
85,11731,21072,18568,13706,64699,115299,56123,66101,148963,109367,88376,172683,22825,31090,25315,12145
86,10191,17490,16749,11617,55077,101891,48670,57615,134673,98507,77865,157041,18641,27198,22669,10671
87,9234,15527,15693,10480,49456,92689,44157,52576,122186,89959,70825,143436,16757,24589,20305,9688
88,8809,14384,14422,9487,46267,84167,40829,48779,115949,83153,65865,132020,15554,23365,18754,9084
89,8246,13329,13499,8757,43295,79461,37696,45784,108564,77204,61421,123475,14622,21368,17989,8279
90,7818,12414,12462,7853,40441,73497,34710,42854,103141,72302,57512,114164,13730,20288,17285,7723
91,7712,12137,11778,7488,38608,68475,32130,41171,97921,67449,54631,107394,13528,19432,16308,7275
92,7211,11676,11363,6915,37439,64643,30339,39151,93672,63636,52009,100002,12851,18463,16169,7153
93,7070,11633,10845,6548,37437,62383,28720,38532,90149,60568,50692,95644,13336,18373,16070,6873
94,7015,11798,10418,6210,37096,59117,27761,37866,87406,57169,48891,90545,13344,17690,15449,6402
95,6407,10573,9766,5622,33693,53871,24398,34153,80592,53375,44887,83959,12155,16384,15073,5885
96,5701,9294,8746,4639,29908,48985,21933,30696,73188,47357,40258,75548,10750,14907,13517,5343
97,5197,8277,8303,4457,26560,44110,19717,27705,67841,43934,36626,69858,9651,13527,12103,4856
98,5021,7567,7568,4008,24315,41055,18324,26015,62239,39976,33750,63699,8669,12535,11497,4221
99,4624,7284,6920,3801,23019,37621,17236,24441,59143,37461,31550,59667,8316,11917,10924,4132
100,4290,6772,6584,3351,21973,35940,15924,23103,56316,34695,30051,55882,7796,11353,10380,4065
101,4112,6480,6232,3284,21568,33701,14970,22044,53322,32670,28461,53040,7488,10678,9968,3670
102,4181,6379,5993,3018,20694,32179,13954,20993,50799,30827,27000,49688,7391,10283,9909,3721
103,3894,6373,5603,3024,19961,30546,13291,20519,48461,29221,26445,46892,7292,9982,9566,3405
104,3759,5988,5352,2764,19725,28623,12363,20024,46461,27340,25349,44253,6958,9392,9391,3317
105,3642,5627,5018,2537,18398,26535,11377,18472,42963,25042,23078,40825,6630,9087,8764,3075
106,3211,5002,4589,2407,16555,24760,10300,16916,39776,23176,21617,37897,6187,8257,8295,2756
107,3111,4662,4278,2009,15288,22521,9434,15503,36967,21557,19823,34673,5666,7613,7526,2707
108,2912,4305,4155,1965,14192,21134,8574,14770,34911,19975,18213,32351,5422,7042,7196,2344
109,2696,3866,3795,1757,13199,19539,8178,13744,32277,18438,17161,29741,4814,6782,6875,2310
110,2599,3621,3605,1653,12358,18250,7307,12546,30238,17125,15875,28058,4600,6351,6681,2071
111,2337,3342,3147,1466,11356,16271,6729,11599,26317,14761,13970,24533,3915,5514,5646,1940
