read_length,MS11669,MS11670,MS11673,MS11674,MS11675,MS11676,MS11677,MS11678,MS11679,MS11683,MS11684,MS11686,MS11770,MS11771,MS11774,MS11775
85,144889,78595,154650,47103,199925,99902,83814,112281,209768,192438,96423,117193,109315,142235,134047,164834
86,134135,73228,144214,44676,186840,93265,78020,105115,194146,177202,89661,108799,102294,134922,125357,154236
87,126051,69307,138476,41284,178789,89826,74192,99390,185959,168740,85439,104024,98932,128647,118358,146306
88,117161,64479,128189,38946,166990,84452,70518,92564,172892,158615,80786,98863,91701,121444,110908,137758
89,109680,60674,121296,36463,156537,80900,66306,86842,162636,147614,77523,94510,87309,115832,104208,130638
90,104945,58030,115558,34625,147618,76449,62824,82154,155773,141003,74160,90617,83652,109695,99183,123192
91,97903,54599,107885,32732,137176,72977,59425,77218,146313,133028,70470,85716,78300,103724,92796,115867
92,92421,50867,102070,30698,130087,69437,56718,72737,136831,123646,66954,81126,74990,99116,87629,110392
93,89218,49470,99534,29038,124132,67257,54606,69275,132275,118778,65079,79158,71217,94973,83801,104631
94,82844,45997,93158,27283,116397,63426,51260,64015,124229,111649,61913,74979,67122,90059,78383,98984
95,78067,43138,87789,25728,109547,61129,49364,60290,118087,105546,58866,70921,64183,85924,73570,94676
96,73564,41364,83007,24017,104295,57898,46408,57887,112735,100168,56552,69264,61486,82765,70905,89675
97,67289,38967,77859,22339,97586,54857,43204,54126,106042,94996,54274,65790,58862,78791,66068,84831
98,63981,36720,74148,20915,91968,52710,41315,51208,99827,89834,51876,63541,55888,74854,61601,81271
99,61309,35295,70368,19783,87993,49888,39410,48965,97011,86029,49457,60700,53216,71296,58781,76399
100,56864,33388,65854,18680,83253,47699,37721,45445,90648,81683,48013,57928,50270,68762,56045,72173
101,54125,32016,63460,17491,79216,45983,35962,43454,86160,76681,45960,55742,48180,66089,53483,68652
102,52957,30232,60977,16678,74886,43365,34468,41425,82869,73688,43993,53280,46219,62802,51191,65313
103,49241,29012,57345,15994,70562,42661,32663,39191,78659,70585,42346,51468,44098,60182,48157,62140
104,47680,27271,54944,15222,67320,40403,31365,37352,75468,67114,41187,49689,42404,57694,46188,60033
105,44910,26143,52947,14451,63994,38751,29923,35690,72305,63656,39107,47961,40792,55767,44384,56859
106,42480,25196,50224,13706,62040,37167,28690,33923,69499,61121,37999,46576,39323,53785,42313,54735
107,40567,24347,49270,13550,59997,36814,27999,33233,67732,59545,37397,46010,37954,52900,41077,53323
108,38514,23454,46586,12735,56871,34496,26407,30705,64138,55962,34958,42991,35978,49478,38963,49506
109,36725,22414,44721,12306,54991,33572,25896,30556,62911,55201,34827,42856,35544,49097,38110,49108
110,36365,22157,44549,12067,53875,34446,25097,30776,63843,54606,35743,43867,35431,49369,38325,48848
111,31782,19405,38685,9818,47121,29875,22008,26126,53932,46101,29611,36741,30112,42756,31715,41178
