#mpa_vJun23_CHOCOPhlAnSGB_202403
#/nesi/nobackup/uoo02328/meriam/conda_environments/mpa/bin/metaphlan /nesi/project/uoo02328/meriam/data/decontam_data/MS11108.collapsed.dedup.fq.gz --input_type fastq --bowtie2out reports_jun23_database/MS11108_jun23_dedup.bt2.out --nproc 4 --bowtie2db metaphlan_databases --read_min_len 30 -t rel_ab_w_read_stats --bt2_ps very-sensitive --index mpa_vJun23_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats
#47354881 reads processed
#Average read length 45.10251669727562
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1235903
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	64.1764	0.20701	929452
k__Archaea	2157	35.8236	0.11555	306451
k__Bacteria|p__Proteobacteria	2|1224	42.46485	0.13698	607876
k__Archaea|p__Thaumarchaeota	2157|651137	35.8236	0.11555	306451
k__Bacteria|p__Actinobacteria	2|201174	15.59932	0.05032	257076
k__Bacteria|p__Bacteroidota	2|976	3.81325	0.0123	40259
k__Bacteria|p__Nitrospirae	2|40117	0.91922	0.00297	9634
k__Bacteria|p__Firmicutes	2|1239	0.81639	0.00263	7426
k__Bacteria|p__Verrucomicrobia	2|74201	0.31323	0.00101	3188
k__Bacteria|p__Acidobacteria	2|57723	0.17503	0.00056	3243
k__Bacteria|p__Chloroflexi	2|200795	0.0695	0.00022	697
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.00561	2e-05	53
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	33.3737	0.10765	292969
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	25.89482	0.08353	361853
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	10.25339	0.03307	139918
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	6.69948	0.02161	132675
k__Bacteria|p__Actinobacteria|c__CFGB52786	2|201174|	5.28476	0.01705	83965
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	3.81325	0.0123	40259
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	3.52166	0.01136	54057
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	2.71267	0.00875	50916
k__Archaea|p__Thaumarchaeota|c__CFGB659	2157|651137|	2.4499	0.0079	13482
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	2.33586	0.00753	26507
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.79045	0.00255	8587
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.67086	0.00216	6801
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.45552	0.00147	4002
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.35753	0.00115	3389
k__Bacteria|p__Verrucomicrobia|c__CFGB2153	2|74201|	0.31323	0.00101	3188
k__Bacteria|p__Actinobacteria|c__CFGB33437	2|201174|	0.28105	0.00091	2826
