#mpa_vJun23_CHOCOPhlAnSGB_202403
#/nesi/nobackup/uoo02328/meriam/conda_environments/mpa/bin/metaphlan /nesi/project/uoo02328/meriam/data/decontam_data/MS11102.collapsed.dedup.fq.gz --input_type fastq --bowtie2out reports_jun23_database/MS11102_jun23_dedup.bt2.out --nproc 4 --bowtie2db metaphlan_databases --read_min_len 30 -t rel_ab_w_read_stats --bt2_ps very-sensitive --index mpa_vJun23_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats
#45917518 reads processed
#Average read length 44.03626822773827
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1944975
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	89.5918	0.29674	1872261
k__Archaea	2157	10.4082	0.03447	72714
k__Bacteria|p__Actinobacteria	2|201174	85.6521	0.28369	1814828
k__Archaea|p__Thaumarchaeota	2157|651137	10.4082	0.03447	72714
k__Bacteria|p__Proteobacteria	2|1224	2.27175	0.00752	37830
k__Bacteria|p__Nitrospirae	2|40117	1.55771	0.00516	16321
k__Bacteria|p__Bacteroidota	2|976	0.06745	0.00022	1829
k__Bacteria|p__Acidobacteria	2|57723	0.04279	0.00014	1453
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	84.46538	0.27976	1798156
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	9.98353	0.03307	70315
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	1.05712	0.0035	10458
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	0.90231	0.00299	17445
k__Bacteria|p__Actinobacteria|c__CFGB52786	2|201174|	0.73886	0.00245	11783
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.61254	0.00203	8987
k__Bacteria|p__Nitrospirae|c__CFGB32184	2|40117|	0.50059	0.00166	5863
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.43112	0.00143	7457
k__Archaea|p__Thaumarchaeota|c__CFGB659	2157|651137|	0.42467	0.00141	2399
