TAXID,SRR14842336,MS11102,SRR14842425,SRR2240729,SRR2241305,SRR2175658,SRR2175654,SRR1952521,SRR1952621,SRR24222623,SRR14842412,SRR14842388,SRR25620753,SRR25620795,SRR1952518,SRR14842397,SRR14842393,SRR2240837,MS10903,SRR2175756,SRR14842371,SRR14842338,SRR14842369,SRR14842330,SRR2175726,SRR14842405,SRR14842321,SRR14842347,MS11108,SRR14842375,SRR14842341,ERR12814467,MS11107,SRR14842329,SRR14842408,SRR14842358,SRR14842354,SRR14842366,SRR14842384,SRR2175670,SRR2241109,SRR24222627,SRR14842362,SRR14842416,SRR14842420,SRR1952613,MS10902,SRR2175779,SRR2175773,SRR2175764,SRR14842419,SRR2241505,SRR14842387,SRR1952617,SRR14842417,SRR14842345,SRR1952457,SRR14842411,SRR14842327,SRR1952058,SRR14842389,SRR14842385,SRR2241409,SRR1952522,SRR2241306,SRR14842422,SRR14842376,SRR14842400,SRR14842373,SRR1952455,SRR7774477,SRR7774469,SRR14842374,SRR1952459,ERR12074384,SRR7774471,SRR14842423,SRR14842349,SRR2241023,SRR14842322,SRR25620756,ERR12814476,SRR14842323,SRR14842352,ERR12814471,SRR14842396,SRR2240921,SRR2175755,SRR14842402,SRR14842370,SRR2240287,SRR14842334,SRR14842361,SRR7774474,SRR14842379,SRR25620676,SRR14842320,SRR2175724,SRR2175804,SRR14842415,ERR1560093,SRR2175725,SRR2175723,SRR14842368,SRR2175780,SRR14842325,SRR14842339,SRR1952562,SRR14842383,SRR14842380,SRR14842381,SRR2175767,SRR14842372,SRR24222629,SRR2175774,SRR14842365,SRR14842348,SRR14842392,SRR14842337,ERR12814474,MS10790,SRR7774470,SRR2240290,SRR14842398,SRR14842390,SRR14842404,ERR1560095,SRR14842353,SRR1944873,SRR2175776,ERR12074385,SRR24222626,SRR14842367,SRR2240728,SRR14842403,SRR2175647,SRR1952575,SRR14842399,SRR1952620,SRR14842395,SRR7774472,SRR1952618,SRR14842344,SRR7774476,SRR14842331,SRR1952531,SRR2175727,SRR14842332,SRR14842418,SRR1952501,SRR25620786,SRR14842426,SRR2175792,SRR14842357,SRR14842355,SRR14842340,SRR14842333,SRR14842407,SRR25620681,SRR14842351,SRR14842356,SRR14842386,SRR14842421,SRR14842394,SRR14842391,SRR14842377,SRR14842326,SRR14842378,SRR2175649,SRR25620790,MS11103,SRR7774473,SRR2175768,MS10904,SRR24222625,SRR14842350,ERR12074386,SRR14842409,SRR1952418,SRR1952344,SRR14842359,SRR14842406,SRR14842324,SRR2175777,SRR14842335,ERR1560094,SRR14842410,SRR14842363,SRR14842401,SRR14842364,SRR14842382,SRR14842328,SRR14842346,ERR12814470,SRR14842343,SRR14842414,SRR14842342
562,3177,0,0,0,0,0,0,0,63,0,27680,102,0,0,0,10663,3050,0,0,0,12247,4479,8409,0,0,0,1822,473,0,159,3073,0,0,202,300,334,0,12015,373,0,0,0,465,609,0,87,0,0,0,0,408,0,479,0,415,424,89,3748,4854,0,67,1344,0,0,0,137,2087,1593,0,0,301,5265,851,54,0,206,627,338,765,1798,0,0,43086,13581,0,1753,0,50,0,17455,0,641,139,312,469,0,145,0,0,615,0,387,0,0,178,274,1117,0,287,1424,0,101,0,0,0,1860,10754,129,0,0,0,0,299,0,0,0,0,0,0,0,0,0,836,85,0,0,83,9263,0,6685,213,0,29051,0,0,0,0,0,9142,0,0,1288,0,214,1774,735,0,2360,0,5228,128,0,130,0,0,0,4550,257,0,0,0,247,0,0,0,68,0,0,0,0,0,389,13663,51,1087,0,92,0,1479,108,541,1402,165,0,2024,0,957
208962,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547,2017,0,0,0,0,315,0,0,0,0,0,0,0,0,0,124,58,0,0,0,127,663538,150,0,0,0,0,0,59,0,94,0,51,709,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,62,507,75,0,0,0,0,0,0,53,0,653,0,0,0,0,0,58,0,0,0,0,1659,79,0,0,0,0,0,0,0,0,0,0,5571,0,2595,0,0,0,173,0,0,0,0,0,0,0,0,0,1279,0,0,0,185,0,55,0,0,0,425,0,0,0,0,0,0,97,0,0,0,0,0,0,0,307,0,0,0,0,55,0,0,30639,0,0,0,0,212,0,668,724,0,573336,0,0,0,0,0,0,0,0,361,51,0,0,0,0,0,0,1549,0,1226,0,0,0,0,0,0,0,0,0,632,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,81,0,0,0,0,0,0,55
354276,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,105,663485,97,0,0,0,0,0,0,0,0,0,0,709,0,0,0,0,0,0,0,0,0,642,0,0,0,0,0,0,507,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,146,0,2451,0,0,0,141,0,0,0,0,0,0,0,0,0,1274,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,52,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,30639,0,0,0,0,178,0,436,184,0,8946,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,89,0,518,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2890311,1115,0,0,564,0,351,0,0,0,0,0,0,0,0,0,0,396,237,0,67,6432,0,0,0,0,0,75,0,53,51,0,0,0,0,0,0,0,90,0,0,0,0,0,372,4283,0,0,0,0,0,0,2458,61,0,0,0,0,0,0,0,2282,0,0,0,0,61,0,0,67,0,0,0,506,0,0,0,0,0,0,0,0,0,0,1151,0,992,0,0,0,20111,0,0,0,0,0,0,158,0,0,0,0,0,0,661,1711,0,0,249,180,3360,0,0,0,0,0,0,394,55,0,0,0,0,0,0,1187,1404,0,0,0,57,0,0,733,0,232,0,51,551,0,10123,77,0,81334,60,0,0,0,0,0,0,0,0,109,0,238,0,0,0,0,192,0,663,0,0,0,0,0,661,0,0,0,54,0,0,0,0,0,0,0,0,81,0,186,0,0,0,0,54,0,1258,351,0,0,0,0,0,0
570,1070,0,0,538,0,320,0,0,0,0,0,0,0,0,0,0,386,55,0,65,6211,0,0,0,0,0,73,0,0,50,0,0,0,0,0,0,0,87,0,0,0,0,0,354,4159,0,0,0,0,0,0,2364,61,0,0,0,0,0,0,0,2200,0,0,0,0,58,0,0,66,0,0,0,481,0,0,0,0,0,0,0,0,0,0,1105,0,967,0,0,0,19419,0,0,0,0,0,0,151,0,0,0,0,0,0,639,1639,0,0,239,173,3252,0,0,0,0,0,0,378,54,0,0,0,0,0,0,1135,1355,0,0,0,0,0,0,733,0,225,0,0,533,0,9809,74,0,77788,59,0,0,0,0,0,0,0,0,101,0,228,0,0,0,0,182,0,636,0,0,0,0,0,637,0,0,0,0,0,0,0,0,0,0,0,0,77,0,177,0,0,0,0,51,0,1217,345,0,0,0,0,0,0
544,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,81,0,0,0,0,82,0,0,0,0,0,18843,0,326,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,1045,53,0,0,643,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,7504,0,0,0,0,0,0,0,0,0,0,0,72,0,0,802,0,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0
83654,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903411,4232,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13146,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,411,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
