clade_name	MS11669_jun23_nreads	MS11670_jun23_nreads	MS11673_jun23_nreads	MS11674_jun23_nreads	MS11675_jun23_nreads	MS11676_jun23_nreads	MS11677_jun23_nreads	MS11678_jun23_nreads	MS11679_jun23_nreads	MS11683_jun23_nreads	MS11684_jun23_nreads	MS11686_jun23_nreads	MS11770_jun23_nreads	MS11771_jun23_nreads	MS11774_jun23_nreads	MS11775_jun23_nreads
s__Comamonas_SGB88312	1.16255	0.0	0.0	0.0	0.23506	0.49647	0.0	0.0	0.08166	0.0	0.0	0.0	1.92559	0.07649	0.05705	0.0
s__Psychrobacillus_faecigallinarum	0.90278	0.0	0.0	0.0	0.27735	0.08389	0.0	0.0	0.07257	0.14741	0.69429	0.2446	0.09975	0.62522	0.0	0.00389
s__Rhodococcus_globerulus	0.78027	0.0	0.0	0.0	0.34968	0.0	0.0	0.01925	0.0	0.0	0.0	0.0	0.12887	0.0	0.0	0.00281
s__Eubacterium_tenue	0.77954	7.47181	1.1748	2.67884	1.34181	3.42758	1.79038	1.49342	1.1035	0.84791	0.08756	0.84957	1.51352	0.77983	1.20206	0.51362
s__Betaproteobacteria_bacterium_SCGC_AG_212_J23	0.70646	0.138	1.26102	0.03442	0.06256	0.04516	0.09697	0.21897	0.15542	0.43007	0.17887	0.05809	0.72955	0.08333	0.16603	0.00777
s__GGB34943_SGB57189	0.62619	0.32307	1.03691	0.05177	0.10185	0.03197	0.12772	0.26341	0.33489	0.75456	0.34029	0.09555	0.85481	0.11243	0.21586	0.0188
s__GGB91384_SGB134809	0.62263	0.17388	1.11697	0.05567	0.08819	0.02159	0.06736	0.18366	0.27467	0.73916	0.34023	0.08043	0.87745	0.13147	0.17814	0.01166
s__Rhodococcus_sp_OK519	0.60507	0.0	0.0	0.0	0.02054	0.0	0.0	0.0	0.02432	0.00935	0.06531	0.0	0.00723	0.0	0.0	0.0
s__GGB91392_SGB134812	0.60244	0.22054	1.05409	0.07481	0.07978	0.02149	0.08478	0.1621	0.19795	0.56885	0.33951	0.07961	0.71847	0.11786	0.16297	0.01131
s__Pseudoxanthomonas_yeongjuensis	0.60118	0.0	0.0	0.0	0.00404	0.00069	0.26581	0.63345	0.18187	0.11853	0.0	0.0	0.0	0.00738	0.19125	0.0
s__GGB8467_SGB13173	0.58143	0.24716	0.95279	0.05651	0.07477	0.01823	0.10711	0.19544	0.27085	0.86134	0.31197	0.069	0.71952	0.07944	0.1428	0.02011
s__Stenotrophomonas_rhizophila	0.53986	0.0	0.0	0.0	0.01852	0.0	0.0	0.26356	0.08068	0.0	0.82824	0.0	1.18581	22.3648	0.0	0.0
s__Bifidobacterium_longum	0.53568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Sphingomonas_sp_KC8	0.51906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB93539_SGB132226	0.48767	0.28512	0.0	0.12317	0.09502	0.01702	0.02394	0.19543	0.02937	0.0171	0.12292	0.07434	0.16035	0.01345	0.05905	0.03839
s__GGB91402_SGB134821	0.4494	0.19898	0.65518	0.05951	0.06617	0.01881	0.08254	0.20024	0.25623	0.57084	0.37261	0.06949	0.46416	0.05985	0.14633	0.01327
s__Nitrospira_sp_SCGC_AG_212_E16	0.44072	0.22542	0.39919	0.0	0.04255	0.01321	0.10631	0.08234	0.03434	0.05203	0.07869	0.03566	0.31877	0.11362	0.16256	0.00549
s__Aliarcobacter_butzleri	0.42681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Brevundimonas_terrae	0.404	0.0	0.0	0.0	0.1621	0.0102	0.0	0.0	0.26003	0.13397	0.40325	0.09085	0.21984	0.34069	0.04376	0.0
s__Fusobacterium_perfoetens	0.39587	0.21554	5.31367	8.51156	10.74426	10.72974	8.29919	5.40214	3.65095	4.27647	8.57535	12.56059	2.74566	0.53712	13.26174	4.70375
s__Pedobacter_arcticus	0.39037	0.23865	0.0	0.0	0.0	0.03045	0.04211	0.04747	0.0	0.0	0.0	0.0	0.0	0.0	0.00421	0.00213
s__Brevundimonas_bullata	0.38654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05897	0.43973	2.45664	0.0	0.0
s__Brucella_thiophenivorans	0.36841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Staphylococcus_equorum	0.36688	0.01662	0.0	2.0301	0.0	0.66081	0.14697	0.49001	0.0	0.0	0.06721	0.0	0.01782	0.05848	0.0	0.08632
