NZ_CP064937.1_Bacteroides_sp.	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4384378	24	619	0.0141183	0.000199116	41	29.2
MS11670	1	4384378	207	7650	0.174483	0.0021385	40.5	32.7
MS11673	1	4384378	65	2412	0.0550135	0.000573399	40.9	30.7
MS11674	1	4384378	183	5236	0.119424	0.00158609	40.9	29.3
MS11675	1	4384378	1293	34666	0.790671	0.012784	40.6	32.3
MS11676	1	4384378	428	15496	0.353437	0.00398597	40.9	31.1
MS11677	1	4384378	588	19327	0.440815	0.00536336	40.8	31.5
MS11678	1	4384378	971	34983	0.797901	0.00942026	40.7	32.2
MS11679	1	4384378	393	12564	0.286563	0.00381605	40.5	31.8
MS11683	1	4384378	596	17603	0.401494	0.00566443	40.7	32.1
MS11684	1	4384378	922	16138	0.36808	0.00873123	40.7	32.5
MS11686	1	4384378	1436	32036	0.730685	0.013679	40.7	31.8
MS11770	1	4384378	351	13688	0.312199	0.00343561	40.6	31.1
MS11771	1	4384378	235	9108	0.207738	0.00220693	40.7	30.4
MS11774	1	4384378	1963	49394	1.12659	0.019098	40.6	32.2
MS11775	1	4384378	2775	49753	1.13478	0.0274429	40.5	32.1
