NZ_CP048411.1_Pseudomonas_sp.	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4694626	3283	78935	1.68139	0.0255663	40.9	26.5
MS11670	1	4694626	1336	39071	0.832249	0.0105521	40.9	26.2
MS11673	1	4694626	1684	39214	0.835296	0.0130198	40.9	26.4
MS11674	1	4694626	379	12451	0.265218	0.00292845	40.9	26.4
MS11675	1	4694626	2440	61069	1.30083	0.0195715	40.8	26.7
MS11676	1	4694626	1143	35263	0.751135	0.00895918	40.9	26.3
MS11677	1	4694626	1516	44068	0.93869	0.0118766	40.9	26.5
MS11678	1	4694626	1761	44668	0.951471	0.0140088	40.9	26.4
MS11679	1	4694626	12984	344337	7.33471	0.117915	40.6	29
MS11683	1	4694626	6975	204671	4.35969	0.0587069	40.8	28.4
MS11684	1	4694626	1180	36171	0.770477	0.00946295	40.8	26.6
MS11686	1	4694626	917	27177	0.578896	0.00715073	40.9	26.3
MS11770	1	4694626	1570	41956	0.893703	0.0123865	40.9	26.3
MS11771	1	4694626	5424	154455	3.29004	0.0460633	40.7	28.2
MS11774	1	4694626	2333	64267	1.36895	0.0187278	40.9	26.5
MS11775	1	4694626	2254	62202	1.32496	0.0177637	40.8	26.4
