NZ_CP166085.1_Psychrobacter_sp.	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3129232	456	16589	0.53013	0.00564452	40.8	30.8
MS11670	1	3129232	577	22764	0.727463	0.0075795	40.7	32.4
MS11673	1	3129232	376	14257	0.455607	0.00484272	40.8	32.1
MS11674	1	3129232	5994	219769	7.0231	0.0736865	40.9	33.7
MS11675	1	3129232	73288	1818890	58.1258	1.06208	40.4	34.2
MS11676	1	3129232	37174	1148871	36.7142	0.491265	40.7	34
MS11677	1	3129232	440	15869	0.507121	0.00556462	40.8	31.1
MS11678	1	3129232	20447	740996	23.6798	0.282972	40.6	34.4
MS11679	1	3129232	491	20213	0.645941	0.0065588	40.7	33
MS11683	1	3129232	218	7825	0.250061	0.00267606	40.8	30.6
MS11684	1	3129232	145	5668	0.181131	0.00187426	40.6	31.9
MS11686	1	3129232	71	2432	0.0777188	0.000800196	40.9	28.3
MS11770	1	3129232	310	12921	0.412913	0.00419304	40.6	32.7
MS11771	1	3129232	2920	106744	3.41119	0.0400252	40.6	34
MS11774	1	3129232	2151	88825	2.83856	0.0291675	40.6	33.5
MS11775	1	3129232	13275	427779	13.6704	0.168384	40.8	31.4
