NZ_CP059408.1_Bacteroides_sp.	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4470359	21	701	0.0156811	0.000162403	40.6	28
MS11670	1	4470359	78	3278	0.0733274	0.000747591	40.8	31.7
MS11673	1	4470359	38	1574	0.0352097	0.000352097	40.6	31.5
MS11674	1	4470359	80	2996	0.0670192	0.000725892	40.8	29.9
MS11675	1	4470359	1557	46883	1.04875	0.0155855	40.5	32.6
MS11676	1	4470359	326	11324	0.253313	0.00295323	40.8	31.3
MS11677	1	4470359	845	25734	0.575658	0.00772645	40.8	32.1
MS11678	1	4470359	793	26788	0.599236	0.00745667	40.7	31.2
MS11679	1	4470359	430	15359	0.343574	0.00420906	40.6	31
MS11683	1	4470359	589	19595	0.438332	0.00565861	40.5	31.5
MS11684	1	4470359	882	15592	0.348786	0.00852527	40.6	33.1
MS11686	1	4470359	978	30215	0.675896	0.00915206	40.7	31.2
MS11770	1	4470359	229	8950	0.200208	0.00211996	40.8	31.6
MS11771	1	4470359	106	4205	0.094064	0.000984708	40.7	31
MS11774	1	4470359	1493	44879	1.00392	0.0144492	40.6	31.1
MS11775	1	4470359	3430	59531	1.33168	0.0348003	40.3	30.3
