pos	3pG>A
1	0.0108685968819599
2	0.00180938164382322
3	0.00232500618352708
4	0.00173904402265726
5	0.00165353988077107
6	0.00154732685946004
7	0.00236147909227048
8	0.00207612456747405
9	0.00170427832628115
10	0.00195388823759281
11	0.00200748738538332
12	0.00177184845484392
13	0.00148493848112007
14	0.00172269784923784
15	0.00150238772334603
16	0.00187396262783102
17	0.00218019294707582
18	0.00159973521624007
19	0.00185397240852827
20	0.00155863699881759
21	0.00168616292549268
22	0.0019763873719249
23	0.00187715090207529
24	0.00188383045525903
25	0.00147213459516299
