pos	3pG>A
1	0.00960530911631156
2	0.00200154664968385
3	0.00244176393026322
4	0.00155061297669235
5	0.00185025817555938
6	0.00210602013560715
7	0.00203140441418689
8	0.0016194784162618
9	0.00217715136931362
10	0.00168946536596
11	0.00127843179033719
12	0.00219975907400618
13	0.00110993657505285
14	0.00193940664639899
15	0.00105876124933827
16	0.0018957345971564
17	0.00171618577711037
18	0.00147896581945662
19	0.00148517477324564
20	0.00117295798677756
21	0.00126017327382515
22	0.00165110159434498
23	0.00194194603434178
24	0.00154615265680565
25	0.00166441277436804
