pos	5pC>T
1	0.108253414705028
2	0.0501892542889446
3	0.0308620431769457
4	0.0326037391700866
5	0.0206051247406264
6	0.0215602120676597
7	0.0159395973154362
8	0.013587478394469
9	0.0140865315509559
10	0.011972127390918
11	0.0113662940268488
12	0.0106571936056838
13	0.010191142629033
14	0.00988523483460314
15	0.0101517981132979
16	0.00922278797194735
17	0.0102129299547163
18	0.00957350055047628
19	0.00963436413196729
20	0.00883425259418529
21	0.00921658986175115
22	0.00865578065783933
23	0.0097904092010836
24	0.0092033362093759
25	0.0102892642205397
