pos	3pG>A
1	0.00940265486725664
2	0.00208582967203657
3	0.00263777673104098
4	0.00219204193471527
5	0.00198216055500496
6	0.00209580838323353
7	0.00170666666666667
8	0.00240525950077503
9	0.00186926164165155
10	0.00191774984018751
11	0.00203846957976166
12	0.00245763145768266
13	0.00159579944404406
14	0.00158722031642005
15	0.00206026268349215
16	0.00201894704146607
17	0.00124604122319713
18	0.00206451612903226
19	0.00278565901470209
20	0.00201727615993379
21	0.00202020202020202
22	0.00161006289308176
23	0.00151072615570551
24	0.00160441213336676
25	0.00173363246991638
