pos	3pG>A
1	0.00860336093913323
2	0.00191133280499744
3	0.00167232305346515
4	0.00189791229647388
5	0.00186541698894399
6	0.00213241267262388
7	0.00118451515640984
8	0.00193701920416182
9	0.0013950114390938
10	0.00180742688136707
11	0.00184414352705622
12	0.00229107003384535
13	0.00172576090367116
14	0.00197178826027605
15	0.00139477218720942
16	0.00151499320865113
17	0.00151927912824811
18	0.00194931773879142
19	0.00167145468790807
20	0.00227707912849972
21	0.00152733937480908
22	0.00172536283365472
23	0.00160216291994192
24	0.00137558589769717
25	0.00163884052033187
