pos	5pC>T
1	0.0746446060951838
2	0.0333803242372369
3	0.0213949293516384
4	0.0237167736021998
5	0.0177391135303266
6	0.0188698807672369
7	0.015311004784689
8	0.0131610780471283
9	0.01242787394585
10	0.0114691943127962
11	0.011090573012939
12	0.011196118678858
13	0.0114697379022703
14	0.00965597554466495
15	0.0115408759476556
16	0.0109078623485689
17	0.00955012604227264
18	0.01030386872108
19	0.0107775939494209
20	0.0093632064204844
21	0.0084869630817106
22	0.0105203566542435
23	0.0100946676970634
24	0.00984597387404952
25	0.010212437978708
