pos	3pG>A
1	0.00803933812051202
2	0.00272779268775573
3	0.0024911196198736
4	0.00170326382175574
5	0.00131822863027806
6	0.00149302477487986
7	0.00154305112642732
8	0.00226101587969292
9	0.00163844893500819
10	0.00147058823529412
11	0.00173549078658568
12	0.00188535031847134
13	0.0015622637705992
14	0.00206913954075196
15	0.0017340745652063
16	0.00121150933871782
17	0.00164144652474994
18	0.00172405050453831
19	0.00178589652005307
20	0.00167470185232175
21	0.00145246919763598
22	0.0017920254865847
23	0.00158706541685265
24	0.00216141867662229
25	0.00184006365625622
