pos	5pC>T
1	0.126785109163964
2	0.0566253179010744
3	0.041371216196391
4	0.0475146198830409
5	0.0325413966882649
6	0.0321820231628574
7	0.0276442879573678
8	0.0258133127084643
9	0.0238200264666961
10	0.0198089681456736
11	0.0199814126394052
12	0.0184983161789119
13	0.0197717559761424
14	0.0194510175106484
15	0.0178588482475408
16	0.0190594770615841
17	0.0177762790249542
18	0.0174981031866464
19	0.0187384659064023
20	0.0183793999527522
21	0.0184494880385033
22	0.0191705418999715
23	0.0201048118151501
24	0.0226944203527031
25	0.0209067530240975
