pos	5pC>T
1	0.0975815128409038
2	0.0499158998713763
3	0.0333495618305745
4	0.0386903107454556
5	0.0264472244684393
6	0.0281768797278773
7	0.0231093431832173
8	0.0228160725483575
9	0.0228105709876543
10	0.0179914326511185
11	0.0155717313185294
12	0.0176358436606292
13	0.0155491683550865
14	0.0187319201403708
15	0.0191792615266883
16	0.017455762792922
17	0.017426717810295
18	0.0189618392984119
19	0.0171320397539044
20	0.0163532682972807
21	0.0162304156112206
22	0.0167685839862412
23	0.018266123366587
24	0.0194437726723096
25	0.0189815921587377
