pos	5pC>T
1	0.147882674714703
2	0.0605367793240557
3	0.0374555862613502
4	0.0410433235081475
5	0.0283758262511804
6	0.0287321679726743
7	0.0219970110218569
8	0.0216037555087181
9	0.0217718812266122
10	0.0172190335123125
11	0.0176518883415435
12	0.0160731021555764
13	0.0147906976744186
14	0.0149441927800869
15	0.0132770349519118
16	0.0151220668404835
17	0.0146173688736028
18	0.0158534269982912
19	0.0141518188567186
20	0.0144614517795098
21	0.0152757602736517
22	0.0171182673665295
23	0.0167897286365988
24	0.0164735178622737
25	0.0171822964428785
