pos	5pC>T
1	0.109789444900191
2	0.054004734661669
3	0.0346987715949689
4	0.0474382257443179
5	0.0311218335343788
6	0.0295297302717337
7	0.0249682606855692
8	0.0251805397187381
9	0.022821777390968
10	0.0204929382442537
11	0.0185709070998357
12	0.0191356598104923
13	0.0197449609214315
14	0.0180736994896287
15	0.0186990345861843
16	0.0174977291198547
17	0.0179554704333254
18	0.0179289464969961
19	0.0193122939236929
20	0.0176716141001855
21	0.0185151153174676
22	0.0172205156846319
23	0.0194174757281553
24	0.0206657939031232
25	0.020264565156206
