pos	5pC>T
1	0.190393729493256
2	0.0831026300177971
3	0.0562246963562753
4	0.0649158396841932
5	0.0428490619402282
6	0.0422781271837876
7	0.0364721485411141
8	0.0330247208170278
9	0.0302546229063801
10	0.0238128786811329
11	0.0243240714753485
12	0.023317284999528
13	0.0225024612066945
14	0.0229614642638686
15	0.023623929989001
16	0.021402637110644
17	0.0227743271221532
18	0.0223184857331199
19	0.0217050581809546
20	0.0207401193139448
21	0.023344114751793
22	0.0230602022493148
23	0.0248031310416372
24	0.0248122445099344
25	0.0247586272822866
