pos	3pG>A
1	0.013892672296377
2	0.00208952451708767
3	0.00266318275463545
4	0.00210731907894737
5	0.0012396694214876
6	0.00221706081081081
7	0.00226191857093145
8	0.00186643336249635
9	0.00185207312701637
10	0.00262093328015498
11	0.00201612903225806
12	0.00148706782091455
13	0.00236038839118073
14	0.00118260495618986
15	0.00177878395860285
16	0.00204421969982248
17	0.00214840522227731
18	0.0018202879364554
19	0.00147026791548682
20	0.00153466703206358
21	0.00181954404366906
22	0.00168731874505668
23	0.00126715945089757
24	0.0019723865877712
25	0.00170375891811309
