pos	3pG>A
1	0.0087527352297593
2	0.00159003577580496
3	0.0025821259503658
4	0.00180849038644584
5	0.00134895877244752
6	0.0015043626516899
7	0.00213394615889691
8	0.00167429400602746
9	0.0020461520973059
10	0.00173526381432677
11	0.00201047563620972
12	0.00155844155844156
13	0.00103503596749987
14	0.00208561447416445
15	0.00191323232845545
16	0.00159201867968584
17	0.00122594744416609
18	0.00159846547314578
19	0.00159168081494058
20	0.00242143496341528
21	0.00166130204547814
22	0.00175974328450908
23	0.00147702964245696
24	0.00244206588382001
25	0.00160646732652744
