pos	5pC>T
1	0.105541020370024
2	0.0437295417348609
3	0.0287501862058692
4	0.0338373334832219
5	0.0244093332681113
6	0.0254930009195872
7	0.0202209414024976
8	0.0183266167722126
9	0.0190806168260785
10	0.0148056755089451
11	0.0136764773829876
12	0.0153382761816497
13	0.0149057841942439
14	0.014453218473319
15	0.0154576731114019
16	0.0126138411337846
17	0.0139487079091621
18	0.0131887035886654
19	0.014647701582517
20	0.0133112269066793
21	0.01237355916255
22	0.0126540126540127
23	0.0127836828497558
24	0.014516439146318
25	0.0135955328963341
