pos	3pG>A
1	0.0110453991998608
2	0.00230084653787714
3	0.00294282511210762
4	0.00260053868301291
5	0.00180984048150175
6	0.002232034548013
7	0.00227802500529773
8	0.00266811870405663
9	0.00268964760127347
10	0.00205837335725972
11	0.00187363380868117
12	0.0018380475850097
13	0.00243611672627378
14	0.00268871753246753
15	0.00205899006537293
16	0.00209729397923167
17	0.00205117686272499
18	0.001822821728035
19	0.00224879893693141
20	0.00201842459372736
21	0.00165042034143071
22	0.00185009250462523
23	0.00209937018894332
24	0.00201075755290806
25	0.00177224163248772
