pos	3pG>A
1	0.00839771582129661
2	0.00276390437860641
3	0.00232684786375563
4	0.00254362313679605
5	0.00172655156322912
6	0.00166536559979183
7	0.00276762980183771
8	0.00195203569436698
9	0.00165119854239025
10	0.00195804195804196
11	0.00156595928505859
12	0.0022354694485842
13	0.00133035334184759
14	0.00188263138077564
15	0.00143792938169037
16	0.00160926939169617
17	0.00142060976942411
18	0.00227617602427921
19	0.00192400192400192
20	0.00149349263921485
21	0.00141591064030626
22	0.00151159760229346
23	0.00172558042250575
24	0.00136033066499241
25	0.00178187726010167
