pos	5pC>T
1	0.195251177394035
2	0.0733445511234287
3	0.0514979338842975
4	0.0585115292278488
5	0.0401166345294643
6	0.0409574997511695
7	0.031618906532105
8	0.0275813295615276
9	0.0284214075822535
10	0.023036113179449
11	0.022434870198251
12	0.0226094268230018
13	0.01938109995837
14	0.0208038494197566
15	0.0216976633285646
16	0.0211917347429121
17	0.0204189742354924
18	0.0206347693480747
19	0.0200273314169926
20	0.0199698568198945
21	0.0214691352324669
22	0.019854494250176
23	0.020352526439483
24	0.0206425283538177
25	0.0221471652593486
