pos	5pC>T
1	0.126313865277397
2	0.0507547900135475
3	0.0335455188440942
4	0.0381456667387076
5	0.023551907471318
6	0.0254073597147244
7	0.02
8	0.0186556536599259
9	0.0180884751943192
10	0.0160205511443251
11	0.0143384047948363
12	0.0148684891544723
13	0.0150708802335986
14	0.014307516215185
15	0.015297012980746
16	0.0159003008165019
17	0.0152965510606571
18	0.0139969633706586
19	0.0143113546193085
20	0.0136475255005667
21	0.0150544672495208
22	0.0135147817925856
23	0.0184281586053342
24	0.0136531715179672
25	0.0168236877523553
