pos	5pC>T
1	0.187376906517657
2	0.0834687546166347
3	0.0581515584223743
4	0.0646808968224098
5	0.0467776906398487
6	0.0427439844567329
7	0.0343986109155756
8	0.0362837773321875
9	0.0310827901546843
10	0.0282654249126892
11	0.0258581025121929
12	0.024011562849683
13	0.0258780036968577
14	0.0228636213330814
15	0.0232777306568655
16	0.0231324379869044
17	0.0233449978428647
18	0.0240361956829107
19	0.0233247119680226
20	0.0217060167555217
21	0.024496815878771
22	0.0241406949879768
23	0.0249135603656515
24	0.0246616683170651
25	0.0239813847468895
