pos	5pC>T
1	0.119100512309018
2	0.0515940013904062
3	0.0358684328025004
4	0.0398023606917376
5	0.0288218760421133
6	0.0298073063026897
7	0.0218359027224591
8	0.0223117006158219
9	0.0211140841644369
10	0.018515037593985
11	0.0196528606850951
12	0.0162403386087597
13	0.0178742857142857
14	0.0176716141001855
15	0.0181610181610182
16	0.0156309208033346
17	0.0175180402582605
18	0.0167253934695795
19	0.016090331686662
20	0.0168283879435616
21	0.0171934377606822
22	0.0158495448454323
23	0.0167194485842027
24	0.0165076692854471
25	0.0175221995346408
