pos	3pG>A
1	0.00796359499431172
2	0.00181512307419869
3	0.0019747978183186
4	0.0015319800842589
5	0.00147163940629862
6	0.00164794007490637
7	0.00199093020683553
8	0.00236313509255612
9	0.00258576107567661
10	0.00248399205122544
11	0.0017264634475317
12	0.00148967865503299
13	0.00131261157198362
14	0.00187295145934135
15	0.0018596248870942
16	0.00148849077667322
17	0.00184211952104892
18	0.00199654651413771
19	0.00209193799281232
20	0.00159880622468557
21	0.00169866680393267
22	0.00118489516253671
23	0.0012792958755501
24	0.00184947341381968
25	0.00268345546496026
