pos	5pC>T
1	0.126430339545094
2	0.0565290565290565
3	0.0384954451954158
4	0.045300991305311
5	0.031263362949589
6	0.0332207766411759
7	0.0272633261257873
8	0.0265846736045412
9	0.024418325737587
10	0.022830206118865
11	0.0223730056849441
12	0.0202781265987628
13	0.0215009208103131
14	0.0207342415146617
15	0.0216446168949558
16	0.0215470396446629
17	0.0197991391678623
18	0.0210894647247967
19	0.0198903243795892
20	0.0217624807360015
21	0.0180935367138473
22	0.0202485686356654
23	0.0218781076857508
24	0.0207344021815788
25	0.0228671527317489
