pos	5pC>T
1	0.073516427343278
2	0.0314334885604373
3	0.0213721089099249
4	0.0241429531705131
5	0.0185997205223341
6	0.0168573453477777
7	0.0159981011155946
8	0.0136073978247329
9	0.0138971315529179
10	0.0132490923664482
11	0.0114338404794836
12	0.0106604866743917
13	0.0100328176277543
14	0.0102332222751071
15	0.0124288923944739
16	0.0116495583671521
17	0.0122708243106684
18	0.0117720545838939
19	0.0114665057332529
20	0.0119170015889335
21	0.011866235167206
22	0.0124696431907342
23	0.012702295822356
24	0.0129047619047619
25	0.0122482177886226
