pos	3pG>A
1	0.0105735070208087
2	0.00188272030123525
3	0.00251814545993186
4	0.00147058823529412
5	0.0016246953696182
6	0.0016377984019058
7	0.0021019726204592
8	0.00196947316592811
9	0.00200953091806855
10	0.00123126338329764
11	0.00173228346456693
12	0.00164693772516727
13	0.00154075291459093
14	0.00181671376665321
15	0.00161022231456472
16	0.00165863266469704
17	0.00191819171548551
18	0.00141985696255785
19	0.00134617375996686
20	0.00203729822911769
21	0.0015759239489604
22	0.00137418566775244
23	0.0017224783423679
24	0.00126659235991488
25	0.00172143182623665
