pos	3pG>A
1	0.011168100595632
2	0.00246053853296193
3	0.00233906729691535
4	0.00188916876574307
5	0.00187928849263581
6	0.00169028088491176
7	0.00156107014049631
8	0.00274468902673327
9	0.0023135086333371
10	0.00189660778151078
11	0.00163951766448064
12	0.00212215320910973
13	0.00175284837861525
14	0.00119189511323004
15	0.00160746694322012
16	0.00167250300527884
17	0.00183852497767505
18	0.0015938795027096
19	0.00185204783574981
20	0.00161231601393873
21	0.00158034257748777
22	0.00200782537067545
23	0.00113372842051018
24	0.00194741966893866
25	0.00159925711927363
