pos	3pG>A
1	0.0100550634426622
2	0.00232908617618852
3	0.00219298245614035
4	0.0016432265236093
5	0.00180768043737049
6	0.00213272492808253
7	0.00206436586915096
8	0.00201426316075998
9	0.00202551048338534
10	0.00224263135412217
11	0.00152167068947424
12	0.00159629248197734
13	0.00191402410635766
14	0.00165297794307557
15	0.00174037674037674
16	0.00212171393086318
17	0.00182462725471796
18	0.00145787774653754
19	0.00203146161058444
20	0.00149538493270768
21	0.00199254074490369
22	0.0020259319286872
23	0.00101770812131081
24	0.00212625930238445
25	0.00167563724992383
