pos	5pC>T
1	0.195570587962748
2	0.0916376833509754
3	0.056469542018675
4	0.0664867781975175
5	0.0431734317343173
6	0.0429608414399289
7	0.0355420276281901
8	0.0332603730491054
9	0.0335831515036524
10	0.0271205202712052
11	0.0239948713252129
12	0.0243151314579886
13	0.0259101040118871
14	0.0245413057651113
15	0.024143083963762
16	0.0234995535084833
17	0.0237759609059299
18	0.0236940298507463
19	0.0249650023331778
20	0.0227219598859227
21	0.0233082015446855
22	0.0232481990831696
23	0.0243389703821358
24	0.0272338827064845
25	0.0237859733408695
