pos	3pG>A
1	0.00859551030626721
2	0.00151050690834777
3	0.00215932028352814
4	0.00175330521726769
5	0.00184739645987283
6	0.00209100866275017
7	0.00190305016651689
8	0.00243282694490999
9	0.00142045454545455
10	0.00180928054491273
11	0.00104248110502997
12	0.00117012617012617
13	0.00133285487260983
14	0.0014142842711385
15	0.00204342273307791
16	0.00132917540003067
17	0.00223052183836498
18	0.00237935136812704
19	0.00135177290215244
20	0.00112901570358206
21	0.000957902697252332
22	0.00135739781810869
23	0.00173619723200556
24	0.00120318844939089
25	0.0018153396197872
