pos	3pG>A
1	0.0122642241713887
2	0.00273627519110493
3	0.00326157860404436
4	0.00301893696825542
5	0.00245819061051783
6	0.00266433919794203
7	0.00267271810388301
8	0.00258152889731837
9	0.00258732212160414
10	0.00283680627192078
11	0.00349296345044042
12	0.00274245823984044
13	0.00322917184162154
14	0.00303326810176125
15	0.0021099116781158
16	0.00208219721382182
17	0.00296214479365398
18	0.00256681262267854
19	0.00200491203448449
20	0.00181415037290869
21	0.00207100591715976
22	0.00266101611393091
23	0.00273678037337504
24	0.00243427458617332
25	0.00249084249084249
