#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11670_over50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 12166638 -o reports_over50bp/MS11670_jun23_over50bp.metaphlan_profile.txt
#12166638 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:349479
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	97.79219	0.11368	345747
k__Archaea	2157	2.20781	0.00257	3732
k__Bacteria|p__Firmicutes	2|1239	60.75392	0.07062	191809
k__Bacteria|p__Proteobacteria	2|1224	16.48727	0.01917	72053
k__Bacteria|p__Bacteroidota	2|976	12.53127	0.01457	63083
k__Bacteria|p__Actinobacteria	2|201174	5.99842	0.00697	12462
k__Archaea|p__Thaumarchaeota	2157|651137	2.20781	0.00257	3732
k__Bacteria|p__Nitrospirae	2|40117	1.14581	0.00133	4172
k__Bacteria|p__Fusobacteria	2|32066	0.75168	0.00087	1871
k__Bacteria|p__Verrucomicrobia	2|74201	0.12383	0.00014	297
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	40.68769	0.0473	145166
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	15.01458	0.01745	35031
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	8.67845	0.01009	49085
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	8.07531	0.00939	25992
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	5.99842	0.00697	12462
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	3.61202	0.0042	12786
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	3.13296	0.00364	21151
k__Bacteria|p__Firmicutes|c__CFGB49311	2|1239|	2.66442	0.0031	6258
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	2.20781	0.00257	3732
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	2.0089	0.00234	9451
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.46233	0.0017	6926
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	1.14581	0.00133	4172
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.94586	0.0011	2666
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.92255	0.00107	1955
k__Bacteria|p__Proteobacteria|c__CFGB49326	2|1224|	0.76495	0.00089	5231
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.75168	0.00087	1871
k__Bacteria|p__Firmicutes|c__CFGB79015	2|1239|	0.43729	0.00051	1128
k__Bacteria|p__Firmicutes|c__CFGB1349	2|1239|	0.34813	0.0004	818
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.28631	0.00033	638
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.2408	0.00028	1212
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.23065	0.00027	571
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.16231	0.00019	244
k__Bacteria|p__Verrucomicrobia|c__CFGB79351	2|74201|	0.12383	0.00014	297
