#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11673_over50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 20452543 -o reports_over50bp/MS11673_jun23_over50bp.metaphlan_profile.txt
#20452543 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:88071
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	68.53345	0.01938	75130
k__Archaea	2157	31.46655	0.0089	12941
k__Bacteria|p__Proteobacteria	2|1224	33.88639	0.00958	47660
k__Archaea|p__Thaumarchaeota	2157|651137	31.46655	0.0089	12941
k__Bacteria|p__Firmicutes	2|1239	11.27871	0.00319	9525
k__Bacteria|p__Nitrospirae	2|40117	11.17701	0.00316	8722
k__Bacteria|p__Fusobacteria	2|32066	5.96929	0.00169	2561
k__Bacteria|p__Bacteroidota	2|976	3.78998	0.00107	3194
k__Bacteria|p__Actinobacteria	2|201174	1.96775	0.00056	2062
k__Bacteria|p__Acidobacteria	2|57723	0.46432	0.00013	1406
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	31.46655	0.0089	12941
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	14.35606	0.00406	23611
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	10.2504	0.0029	13512
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	8.77345	0.00248	7739
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	8.2381	0.00233	9429
k__Bacteria|p__Nitrospirae|c__CFGB32184	2|40117|	6.25012	0.00177	4542
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	5.96929	0.00169	2561
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	4.92689	0.00139	4180
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	3.78998	0.00107	3194
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.27318	0.00064	1612
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.96775	0.00056	2062
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.67245	0.00019	512
k__Bacteria|p__Acidobacteria|c__CFGB72794	2|57723|	0.46432	0.00013	1406
k__Bacteria|p__Proteobacteria|c__CFGB49326	2|1224|	0.36938	0.0001	596
