#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11775_over50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 21080790 -o reports_over50bp/MS11775_jun23_over50bp.metaphlan_profile.txt
#21080790 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:3503604
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.07181	1.27843	3467052
k__Archaea	2157	1.92819	0.02514	36552
k__Bacteria|p__Firmicutes	2|1239	56.42013	0.73547	1739974
k__Bacteria|p__Bacteroidota	2|976	16.16854	0.21077	893093
k__Bacteria|p__Proteobacteria	2|1224	14.33418	0.18686	545014
k__Bacteria|p__Fusobacteria	2|32066	7.72874	0.10075	184511
k__Bacteria|p__Actinobacteria	2|201174	3.31755	0.04325	100657
k__Archaea|p__Thaumarchaeota	2157|651137	1.92819	0.02514	36552
k__Bacteria|p__Nitrospirae	2|40117	0.07412	0.00097	2823
k__Bacteria|p__Deferribacteres	2|200930	0.02856	0.00037	980
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	24.93657	0.32506	941000
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	18.9075	0.24647	374759
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	15.99451	0.2085	884954
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	12.01373	0.15661	460989
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	7.72874	0.10075	184511
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	6.35962	0.0829	238163
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.52183	0.04591	103395
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.50048	0.0326	63594
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	1.92819	0.02514	36552
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.12315	0.01464	36269
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.81707	0.01065	37063
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.73414	0.00957	17088
k__Bacteria|p__Firmicutes|c__CFGB75497	2|1239|	0.71219	0.00928	19165
