#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11683_over50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 28024789 -o reports_over50bp/MS11683_jun23_over50bp.metaphlan_profile.txt
#28024789 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:424530
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	96.72149	0.11727	416879
k__Archaea	2157	3.27851	0.00397	7651
k__Bacteria|p__Proteobacteria	2|1224	36.20968	0.0439	170640
k__Bacteria|p__Firmicutes	2|1239	27.40869	0.03323	107207
k__Bacteria|p__Bacteroidota	2|976	10.99542	0.01333	52915
k__Bacteria|p__Actinobacteria	2|201174	10.12626	0.01228	55513
k__Bacteria|p__Fusobacteria	2|32066	10.06316	0.0122	23034
k__Archaea|p__Thaumarchaeota	2157|651137	3.27851	0.00397	7651
k__Bacteria|p__Nitrospirae	2|40117	1.91828	0.00233	7570
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	26.4503	0.03207	104284
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	15.69988	0.01903	69035
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	14.11754	0.01712	69528
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	10.96026	0.01329	52720
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	10.06316	0.0122	23034
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	9.80584	0.01189	54733
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	5.05551	0.00613	24806
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	3.27851	0.00397	7651
k__Bacteria|p__Nitrospirae|c__CFGB32184	2|40117|	1.18912	0.00144	5098
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	0.86402	0.00105	6109
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.72917	0.00088	2472
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.36448	0.00044	703
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.3525	0.00043	1147
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.32042	0.00039	780
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.25257	0.00031	560
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.2072	0.00025	745
k__Bacteria|p__Firmicutes|c__CFGB1258	2|1239|	0.14612	0.00018	471
