#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11669_over50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 23143727 -o reports_over50bp/MS11669_jun23_over50bp.metaphlan_profile.txt
#23143727 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:506017
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	90.11307	0.15012	482065
k__Archaea	2157	9.88693	0.01647	23952
k__Bacteria|p__Proteobacteria	2|1224	60.86336	0.1014	292230
k__Bacteria|p__Nitrospirae	2|40117	11.53395	0.01922	67091
k__Archaea|p__Thaumarchaeota	2157|651137	9.88693	0.01647	23952
k__Bacteria|p__Actinobacteria	2|201174	7.45091	0.01241	64685
k__Bacteria|p__Firmicutes	2|1239	7.18187	0.01196	40956
k__Bacteria|p__Bacteroidota	2|976	3.08297	0.00514	17103
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	48.22741	0.08034	194874
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	11.49219	0.01915	66913
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	9.88693	0.01647	23952
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	7.45091	0.01241	64685
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	4.41001	0.00735	24022
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	4.12378	0.00687	27943
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	3.49728	0.00583	33919
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.77187	0.00462	16934
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	2.60901	0.00435	13696
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	2.00085	0.00333	13490
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	1.98396	0.00331	13667
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.79084	0.00132	6093
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.47396	0.00079	3407
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.23923	0.0004	2244
k__Bacteria|p__Nitrospirae|c__CFGB32184	2|40117|	0.04176	7e-05	178
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	48.22741	0.08034	194874
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	11.49219	0.01915	66913
k__Archaea|p__Thaumarchaeota|c__CFGB167|o__OFGB167	2157|651137||	9.88693	0.01647	23952
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	4.41001	0.00735	24022
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	3.80425	0.00634	27410
k__Bacteria|p__Proteobacteria|c__CFGB5371|o__OFGB5371	2|1224||	3.49728	0.00583	33919
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	3.06448	0.00511	33794
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	3.00703	0.00501	20237
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	2.76535	0.00461	16908
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	2.60901	0.00435	13696
k__Bacteria|p__Proteobacteria|c__CFGB33292|o__OFGB33292	2|1224||	2.00085	0.00333	13490
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	1.30753	0.00218	9287
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.11675	0.00186	7706
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	0.69447	0.00116	5149
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	2|976|117747|200666	0.47396	0.00079	3407
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.40853	0.00068	1639
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	0.32469	0.00054	1641
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.29068	0.00048	2113
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2|1224|28221|29	0.23923	0.0004	2244
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	0.10114	0.00017	953
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	2|201174|1760|85008	0.07251	0.00012	889
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.06639	0.00011	694
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.06106	0.0001	626
k__Bacteria|p__Nitrospirae|c__CFGB32184|o__OFGB32184	2|40117||	0.04176	7e-05	178
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.02998	5e-05	250
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.00651	1e-05	26
