#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11678_over50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 19996252 -o reports_over50bp/MS11678_jun23_over50bp.metaphlan_profile.txt
#19996252 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:820765
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	91.63515	0.30257	779789
k__Archaea	2157	8.36485	0.02762	40976
k__Bacteria|p__Firmicutes	2|1239	45.00049	0.14859	354401
k__Bacteria|p__Fusobacteria	2|32066	21.16216	0.06987	132073
k__Bacteria|p__Bacteroidota	2|976	12.12024	0.04002	139135
k__Bacteria|p__Proteobacteria	2|1224	10.82828	0.03575	123950
k__Archaea|p__Thaumarchaeota	2157|651137	7.51001	0.0248	36060
k__Bacteria|p__Actinobacteria	2|201174	1.54453	0.0051	22104
k__Archaea|p__Euryarchaeota	2157|28890	0.85485	0.00282	4916
k__Bacteria|p__Nitrospirae	2|40117	0.55571	0.00183	5764
k__Bacteria|p__Tenericutes	2|544448	0.30142	0.001	1379
k__Bacteria|p__Spirochaetes	2|203691	0.08608	0.00028	680
k__Bacteria|p__Lentisphaerae	2|256845	0.03622	0.00012	303
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	16.23002	0.05359	95697
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	15.20478	0.0502	100763
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	13.89184	0.04587	134367
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	9.85966	0.03256	116786
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	7.51001	0.0248	36060
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	7.47949	0.0247	56413
k__Bacteria|p__Fusobacteria|c__CFGB79089	2|32066|	4.93214	0.01629	36376
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	4.55379	0.01504	55314
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	3.8313	0.01265	33625
k__Bacteria|p__Firmicutes|c__CFGB49311	2|1239|	3.00145	0.00991	20024
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.95836	0.00647	18448
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.46972	0.00485	21597
k__Bacteria|p__Firmicutes|c__CFGB79015	2|1239|	1.24526	0.00411	9126
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	1.02098	0.00337	19580
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.85485	0.00282	4916
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.73563	0.00243	6354
k__Bacteria|p__Bacteroidota|c__CFGB11391	2|976|	0.64996	0.00215	6483
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.55571	0.00183	5764
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.51517	0.0017	2671
k__Bacteria|p__Firmicutes|c__CFGB1778	2|1239|	0.49355	0.00163	2094
k__Bacteria|p__Bacteroidota|c__CFGB653	2|976|	0.48524	0.0016	3218
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	0.39084	0.00129	5223
k__Bacteria|p__Bacteroidota|c__CFGB7511	2|976|	0.33465	0.0011	3788
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.3026	0.001	2443
k__Bacteria|p__Tenericutes|c__CFGB1772	2|544448|	0.30142	0.001	1379
k__Bacteria|p__Proteobacteria|c__CFGB77603	2|1224|	0.24901	0.00082	3732
k__Bacteria|p__Bacteroidota|c__CFGB1458	2|976|	0.24752	0.00082	2617
k__Bacteria|p__Bacteroidota|c__CFGB11479	2|976|	0.23101	0.00076	2368
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.18995	0.00063	2850
