#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11686_over50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 2778827 -o reports_over50bp/MS11686_jun23_over50bp.metaphlan_profile.txt
#2778827 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:517529
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	76.93228	0.1591	447838
k__Archaea	2157	23.06772	0.04771	69691
k__Bacteria|p__Firmicutes	2|1239	34.59618	0.07155	204017
k__Archaea|p__Thaumarchaeota	2157|651137	23.06772	0.04771	69691
k__Bacteria|p__Fusobacteria	2|32066	15.92744	0.03294	53953
k__Bacteria|p__Bacteroidota	2|976	13.8571	0.02866	108571
k__Bacteria|p__Proteobacteria	2|1224	9.59664	0.01985	56337
k__Bacteria|p__Nitrospirae	2|40117	1.5417	0.00319	9798
k__Bacteria|p__Actinobacteria	2|201174	1.41321	0.00292	15162
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	24.81052	0.05131	161135
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	22.99229	0.04755	69148
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	15.92744	0.03294	53953
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	13.8571	0.02866	108571
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	4.05392	0.00838	13722
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	3.93291	0.00813	12367
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	2.7876	0.00576	13506
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	2.12793	0.0044	17810
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	2.05243	0.00424	11058
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.28587	0.00266	12976
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.2424	0.00257	6640
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.00367	0.00208	5059
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.88269	0.00183	13173
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.81907	0.00169	5310
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.78685	0.00163	4702
k__Bacteria|p__Nitrospirae|c__CFGB32184	2|40117|	0.75486	0.00156	5096
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.53053	0.0011	1989
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	0.07544	0.00016	543
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.03473	7e-05	280
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.02713	6e-05	316
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	0.01464	3e-05	175
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	24.81052	0.05131	161135
k__Archaea|p__Thaumarchaeota|c__CFGB167|o__OFGB167	2157|651137||	22.99229	0.04755	69148
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	15.92744	0.03294	53953
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	13.8571	0.02866	108571
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	4.05392	0.00838	13722
k__Bacteria|p__Firmicutes|c__CFGB9119|o__OFGB9119	2|1239||	3.93291	0.00813	12367
