#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11676_over50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 16224865 -o reports_over50bp/MS11676_jun23_over50bp.metaphlan_profile.txt
#16224865 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:574831
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	94.70688	0.22256	556711
k__Archaea	2157	5.29312	0.01244	18120
k__Bacteria|p__Fusobacteria	2|32066	42.21116	0.0992	176770
k__Bacteria|p__Firmicutes	2|1239	26.15259	0.06146	173486
k__Bacteria|p__Proteobacteria	2|1224	12.92991	0.03039	102784
k__Bacteria|p__Bacteroidota	2|976	11.84508	0.02784	92256
k__Archaea|p__Thaumarchaeota	2157|651137	5.24564	0.01233	17926
k__Bacteria|p__Actinobacteria	2|201174	1.34145	0.00315	9895
k__Bacteria|p__Nitrospirae	2|40117	0.22668	0.00053	1520
k__Archaea|p__Euryarchaeota	2157|28890	0.04748	0.00011	194
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	41.86797	0.09839	174969
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	21.74697	0.05111	146880
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	9.66844	0.02272	68788
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	6.73054	0.01582	62532
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	5.53637	0.01301	32846
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	5.24564	0.01233	17926
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.43271	0.00572	15869
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	2.14832	0.00505	23180
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.68953	0.00397	9447
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.97705	0.0023	8343
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	0.44419	0.00104	6083
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.36441	0.00086	1552
k__Bacteria|p__Fusobacteria|c__CFGB79089	2|32066|	0.3432	0.00081	1801
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.16753	0.00039	721
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.13277	0.00031	505
k__Bacteria|p__Nitrospirae|c__CFGB32184	2|40117|	0.12417	0.00029	749
k__Bacteria|p__Firmicutes|c__CFGB9725	2|1239|	0.11584	0.00027	569
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.10251	0.00024	771
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	0.08604	0.0002	818
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.04748	0.00011	194
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.02832	7e-05	288
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	41.86797	0.09839	174969
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	21.74697	0.05111	146880
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	9.66844	0.02272	68788
k__Archaea|p__Thaumarchaeota|c__CFGB167|o__OFGB167	2157|651137||	5.24564	0.01233	17926
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	5.20891	0.01224	30395
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	3.8888	0.00914	43015
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	2.14832	0.00505	23180
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	2.07841	0.00488	13540
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	1.73403	0.00407	11365
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.68953	0.00397	9447
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2|1224|1236|2887326	1.00249	0.00236	7273
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	0.55331	0.0013	4065
k__Bacteria|p__Proteobacteria|c__CFGB5371|o__OFGB5371	2|1224||	0.44419	0.00104	6083
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.36441	0.00086	1552
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.3543	0.00083	2329
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	0.35388	0.00083	3069
k__Bacteria|p__Fusobacteria|c__CFGB79089|o__OFGB79089	2|32066||	0.3432	0.00081	1801
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.19578	0.00046	966
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.16753	0.00039	721
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.13277	0.00031	505
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	0.13169	0.00031	1485
k__Bacteria|p__Nitrospirae|c__CFGB32184|o__OFGB32184	2|40117||	0.12417	0.00029	749
k__Bacteria|p__Firmicutes|c__CFGB9725|o__OFGB9725	2|1239||	0.11584	0.00027	569
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	0.10251	0.00024	771
k__Bacteria|p__Proteobacteria|c__CFGB33292|o__OFGB33292	2|1224||	0.08604	0.0002	818
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	2|201174|1760|85008	0.06986	0.00016	1209
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	2|1224|1236|135622	0.05441	0.00013	557
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.04748	0.00011	194
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.03714	9e-05	216
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	2|976|117747|200666	0.02832	7e-05	288
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.01367	3e-05	106
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	2|32066|203490|203491|203492	41.86797	0.09839	174969
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	9.66844	0.02272	68788
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	8.7565	0.02058	58604
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	7.29428	0.01714	47865
k__Archaea|p__Thaumarchaeota|c__CFGB167|o__OFGB167|f__FGB167	2157|651137|||	5.24564	0.01233	17926
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	4.7402	0.01114	25894
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	3.20626	0.00753	26982
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	3.04363	0.00715	35168
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	2.18222	0.00513	12070
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	2|976|117743|200644|49546	2.0868	0.0049	22707
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2|1224|1236|72274|135621	1.73403	0.00407	11365
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	1.68953	0.00397	9447
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2|1239|91061|1385|90964	1.55877	0.00366	9713
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	2|1224|1236|2887326|468	1.00249	0.00236	7273
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae	2|1224|1236|91347|1903414	0.84518	0.00199	7847
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	2|201174|1760|85007|1653	0.55331	0.0013	4065
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae	2|1239|91061|1385|186818	0.48135	0.00113	3465
