TAXID,MS11673_kraken_2024-standard_conf0
196869,99
2478552,63
2762318,88
2782232,62
1853228,636
1853229,636
563835,636
79328,293
536979,178
768503,537
768507,537
1853232,189
89966,148
2762286,65
1433993,52
2321403,52
2896860,53
117747,152
200666,152
84566,138
1853220,83
1853222,83
1853224,83
563843,66
1090,67
191410,67
191411,67
191412,64
142182,990
219685,990
219686,990
219687,990
1706036,262
861299,262
3237678,242
3062599,242
173479,201
1783257,2851
203682,1635
203683,1494
2691355,469
1914233,469
113,147
2774146,93
2774151,93
2807415,50
2528023,50
2691354,301
2691357,134
2691359,121
112,252
126,252
118,52
2648843,52
2691356,152
1763524,152
666505,68
74201,1063
414999,750
415000,728
134623,728
178440,355
2649488,293
1882749,293
107709,54
452637,54
1961799,65
1838286,65
203494,233
48461,191
203557,167
518753,78
2637149,59
2818505,2769
32015,1544
29,1544
80811,1544
31,409
32,139
83461,93
224458,52
2813578,52
1524215,397
161492,397
2918170,73
2620896,64
404589,58
2918171,60
39,272
47,123
83451,60
3031711,908
3031712,731
49,456
39643,277
56,159
55,65
2567896,65
1055686,146
1055688,146
927083,146
1524216,59
1524217,59
1391654,59
3031713,74
224463,74
53,74
2995304,74
3031714,51
224464,51
162027,51
80816,51
502025,51
57723,2141
1813735,955
2910145,955
2211325,955
2004797,955
1855912,418
2626009,266
2802971,266
204432,758
204433,534
204434,454
940557,71
332160,190
1962910,190
1649475,190
1765019,92
1765020,92
1473598,63
533205,134
574975,109
574976,109
44675,58
1562566,55
458032,55
200940,988
3031651,356
3031668,260
213422,260
28231,115
2627627,81
2597769,62
69541,73
3031449,259
213115,259
194924,240
2035811,77
872,72
901,58
3024418,122
213118,122
3031624,71
2299,71
111752,57
218289,57
32066,854
203490,854
203491,854
203492,742
848,690
850,347
469616,347
40117,617
203693,608
189778,608
189779,608
1234,594
42253,105
2652172,68
1936990,68
2973512,61
1325564,50
29547,616
3031852,615
213849,612
72293,519
209,517
2593540,279
2849641,253
37372,102
213,54
203691,147
203692,147
1643688,105
170,105
171,80
2759,7209
33154,7209
33208,7209
6072,7209
33213,7209
33511,7209
7711,7209
89593,7209
7742,7209
7776,7209
117570,7209
117571,7209
8287,7209
1338369,7209
32523,7209
32524,7209
40674,7209
32525,7209
9347,7209
1437010,7209
314146,7209
9443,7209
376913,7209
314293,7209
9526,7209
314295,7209
9604,7209
207598,7209
9605,7209
9606,7209
2157,1071
28890,811
2290931,468
183963,424
2235,424
1644061,89
1963268,82
1644056,71
2283794,332
183925,331
2158,331
2159,331
2172,329
2173,224
1783275,245
651137,242
1643678,196
1033996,111
1033997,111
497726,97
497727,65
1237085,65
31932,80
338190,80
338191,52
10239,1670
2731341,1656
2731360,1656
2731618,1656
2731619,1656
2842320,1401
2842411,1180
2842582,1180
2843988,1180
926066,1180
2842570,221
2946170,75
1198136,74
10663,73
