TAXID,MS11676_kraken_2024-standard_conf0
1,1086994
131567,1035693
2,958335
1224,422093
1236,298722
91347,212336
543,172641
544,13656
1344959,2060
546,868
57706,111
561,8202
562,5807
83334,352
1499973,944
208962,53
1330545,5396
61646,5301
2890311,351
570,184
160674,115
547,278
354276,93
620,158
623,56
590,64
28901,57
1903414,26966
583,20588
584,18422
586,5429
158850,4126
587,156
126385,103
2633465,92
581,68
582,68
1903412,336
568,214
569,58
546367,56
1903409,206
53335,71
1903411,154
629,78
1903410,55
2887326,41268
468,41268
497,28020
196806,23553
3043330,3435
3240930,1684
3064892,1466
1699621,985
2708350,818
3156079,212
2772254,202
1699623,187
1028416,115
56811,73
1699622,71
1699624,71
2983299,50
256326,279
261164,167
330922,51
469,12555
196816,6072
3120518,5283
1646498,294
40214,407
28090,264
2053287,203
202951,102
909768,55
475,66
135614,15285
32033,13751
40323,5796
196198,735
3055080,447
2770322,57
995085,228
40324,129
2961925,72
216778,154
128780,106
338,853
2643310,53
339,52
68,434
2635362,83
83614,222
2629088,156
2799326,76
83618,204
2645906,82
141948,95
1775411,324
75309,92
231454,59
72274,12962
135621,12748
286,10760
196821,1182
2604941,322
2954092,110
2901380,74
136842,773
86185,425
296,314
2600598,196
136843,110
136841,63
1880678,61
2901261,434
521720,434
2901189,124
2901190,67
3041098,67
2901164,77
2887365,157
2742,157
83889,77
135622,1663
267890,993
22,984
62322,99
267888,544
53246,544
166935,91
1315283,83
135619,1390
28256,1282
2745,1012
2609666,623
2883106,517
29570,264
135620,57
135625,1191
712,1191
724,245
729,97
249188,95
745,209
753,131
1649317,198
123824,198
416916,53
135613,1146
1046,962
67575,860
115860,686
2545632,564
3019969,99
72276,111
135624,881
84642,877
642,835
135623,563
641,563
662,303
657,236
1935446,140
1706369,122
135618,110
403,106
1692040,59
1692041,59
3060226,53
2689614,53
469322,53
465721,53
118969,52
28211,46897
356,18896
41294,3883
374,2811
2631580,757
2782641,69
1437360,81
1073,102
1076,69
82115,2397
227290,1577
379,381
2613769,123
1612611,192
2643050,175
2986923,157
357,77
227292,225
28105,164
323620,160
2643062,69
2831106,1622
46913,1417
196773,383
2976680,55
400770,83
2917991,62
69277,1249
68287,897
325217,451
31988,66
28100,54
2831100,676
85413,676
2653178,291
3068632,70
119045,495
407,221
2282523,94
186650,81
45401,368
29407,224
2619116,224
674703,224
81,79
335928,328
556257,124
331696,69
99,60
118882,210
354349,131
2826938,71
234,52
119042,135
212791,59
2632691,59
1894999,59
255475,95
2821832,93
31993,88
133,65
2843305,57
1632780,57
45404,52
204457,6187
41297,4504
165697,1490
2614943,368
33050,66
13687,1225
196159,450
1030157,82
165695,168
2611147,66
165696,100
335929,273
2800788,77
1041,58
204458,3866
76892,3866
41275,3105
13160,342
2622653,222
2774189,197
588932,60
75,145
20,128
2640670,76
204455,2148
31989,1366
265,1059
2688777,225
3064531,162
59779,71
2903900,62
2854170,422
60136,95
204441,1821
3031144,429
2705399,429
2602015,172
2602016,136
433,333
125216,80
2829815,325
191,193
204447,66
41295,119
2844601,60
93,60
94,60
28216,38255
80840,28473
80864,13547
283,2967
2638500,612
2853257,526
285,167
2796366,132
225991,121
3046670,73
363952,65
32013,59
1219032,59
225992,59
12916,1125
2684926,604
3140252,62
3056107,58
553814,85
758826,72
34072,791
663243,379
34073,103
47420,653
2610897,387
2651974,103
52972,620
2638319,212
296591,88
335476,60
28065,381
2627954,139
238749,159
2649760,65
80865,109
174951,101
94132,101
2919468,88
2029117,88
665874,75
2626134,75
352450,75
2109915,75
219181,67
119060,4220
32008,1773
87882,441
101571,56
111527,65
1822464,469
2026199,138
106589,279
48736,175
209769,69
3122075,66
93217,92
44013,56
75682,1018
2895353,341
149698,158
2609279,61
1522432,71
29580,229
963,80
2975441,757
1114981,200
2627988,133
3037797,133
946333,61
93681,159
2626991,75
196013,50
506,744
222,174
507,152
511,56
517,137
995019,453
40544,335
2494234,177
224471,215
212743,74
2640088,74
2753607,74
206351,3648
481,3379
334107,1924
153493,1924
482,1064
1931275,302
607712,88
326522,78
1499392,127
2897177,84
32003,614
2803844,173
2803845,173
2732487,69
2732067,67
2008793,105
90627,90
453161,50
206379,88
914,56
206389,499
2008794,233
33057,107
12960,56
75787,106
2008795,66
1783272,321634
1239,230774
186801,156042
3082720,73042
186804,72693
1501226,23938
1507512,21353
2626894,1120
2724150,911
2708053,112
1115758,548
2743582,22274
89152,22274
1849822,19064
1505,14663
1490,892
29358,338
1505652,1174
1460447,167
36841,135
1121315,135
1541,109
2813371,63
1870884,293
1496,289
1505657,81
261299,81
3030910,88
186802,62739
31979,60161
1485,59248
1502,21480
1561,3952
1415775,163
1492,372
2614128,232
411486,53
1504,143
1491,97
182773,77
46867,67
1529,58
238834,55
94869,50
216572,1713
216851,553
853,89
1263,173
2608920,98
2892396,130
2714355,105
1905344,129
1550024,129
946234,68
292800,68
292632,66
186806,159
1730,139
53442,78
538999,88
3085636,13800
186803,13683
572511,4809
1322,3017
537007,3017
1912897,274
40520,270
657314,137
411459,97
418240,193
1121115,193
2877527,137
89014,63
1506553,1749
29347,1655
2316020,1746
33038,971
33039,650
657313,408
46228,80
471875,80
2719313,493
208479,454
189330,435
88431,372
39486,54
841,195
301301,71
2569097,184
39488,184
207244,155
649756,121
33042,148
410072,77
1843210,146
3076670,124
3028070,124
1766253,109
39491,109
2888809,64
2068655,64
1649459,63
154046,63
2719231,51
91061,49712
1385,35422
90964,19037
1279,15618
246432,1596
29385,140
1288,78
227979,1716
2630462,1199
2708346,1154
1461582,154
2803850,649
71237,264
42858,235
1296,98
45669,368
407035,342
3076173,237
69966,218
186818,9753
1649,5234
1650,5129
1569,2364
1571,988
3020056,737
2647733,167
3056444,115
648800,1134
2637870,341
2048654,172
76853,50
1002809,50
1372,854
2662419,203
2058136,106
2908840,71
200991,59
186817,3985
1221880,2814
2636677,2786
2921549,251
2303505,161
2954547,87
2921550,59
1386,177
2675229,105
400634,87
186822,712
44249,622
185978,154
253703,93
186820,170
2755,157
2756,157
539002,113
539742,108
33986,108
186826,13580
81852,9774
1350,9630
1354,7679
1352,366
53345,89
1351,67
2737,100
186828,1613
82800,1166
82801,1166
2747,358
147709,247
1266845,247
2751,63
1300,1077
1301,762
197614,70
1357,309
1359,124
2816960,94
1104322,94
186827,539
1375,488
51665,245
33958,340
46255,112
137591,57
2767887,64
1243,56
526524,17388
526525,17388
128827,14244
2749267,13984
2583452,13984
2810281,2477
191303,2477
154288,2360
2810280,642
135858,346
100886,125
2643636,121
2478954,121
3025755,254
1547,153
29348,85
428126,85
909932,731
1843488,501
909930,501
33024,474
2639160,76
2823317,76
626940,68
33025,63
909929,110
1843491,76
1843489,91
31977,91
29465,70
1737404,229
1737405,188
1570339,65
1737406,52
201174,86801
1760,83674
85006,23636
85019,6579
1696,6575
273384,815
2898795,286
2614124,277
3020906,151
