TAXID,MS11684_kraken_2024-standard_conf0
1,1216060
131567,1182502
2,1157330
1224,624644
1236,542315
91347,475156
543,445686
561,21804
562,15716
83334,56
208962,146
564,112
1499973,103
2608889,76
544,10174
1344959,1196
546,569
57706,117
2644389,67
1330545,697
61646,674
547,571
354276,385
299767,318
539813,66
2890311,538
570,251
160674,228
577,108
620,426
623,137
622,124
621,66
579,300
61648,280
590,104
28901,81
83654,73
1903414,4221
586,3177
126385,2399
583,981
584,697
585,126
1903409,151
551,73
1903411,96
613,60
1903412,69
135614,30285
32033,28731
40323,19203
216778,6907
196198,1312
2691571,141
3027225,122
2770322,115
1904944,107
995085,361
40324,237
2961925,78
3003272,360
3003271,116
83614,673
2629088,437
2761107,91
2799325,90
68,561
2635362,92
338,411
83618,155
2645906,52
141948,74
1775411,206
72274,13265
135621,13158
286,11273
196821,1614
2870860,125
640205,270
136845,190
303,119
65741,114
136841,100
136843,89
2901164,113
136846,68
578833,53
2887326,6945
468,6945
469,6651
196816,2111
2601122,78
2929515,65
2905879,62
2929514,56
2929512,50
40214,575
28090,179
497,243
196806,194
3156079,56
135623,1374
641,1374
662,1183
717610,197
2315253,104
50719,51
657,123
38293,96
135613,360
72276,135
106633,50
1046,130
135619,330
28256,284
2745,150
2609666,69
135622,247
267888,150
53246,150
267890,60
22,60
135625,180
712,180
1706369,138
1706371,66
1706373,50
48073,50
135618,129
403,118
1692040,86
1692041,86
135624,62
84642,61
642,53
3060226,59
2689614,59
469322,59
465721,59
28216,24627
80840,14686
80864,4435
283,1824
2796366,135
285,132
225991,126
2638500,84
363952,56
3046670,50
34072,377
663243,207
34073,54
47420,212
2610897,150
12916,101
2684926,68
174951,98
94132,98
28065,58
52972,58
119060,2419
32008,588
87882,164
106589,346
1822464,308
48736,159
209769,51
93217,90
506,1729
222,1011
217203,84
2626865,81
1881016,51
1353891,57
517,189
507,154
511,78
75682,712
2895353,420
149698,188
2609279,83
1522432,57
963,76
2975441,434
1114981,105
2627988,52
3037797,52
93681,77
196013,74
224471,138
995019,75
206389,1011
2008794,436
33057,209
2609274,85
12960,107
2629479,66
75787,260
551759,94
146937,90
404405,72
2008795,92
32003,985
2803844,343
2803845,343
2732067,147
2732487,146
2008793,200
3050898,64
206379,122
914,100
44577,75
2008790,94
919,65
90627,65
2772226,51
206351,885
481,588
334107,333
153493,333
482,128
1499392,113
535,67
2897177,103
28211,18132
356,8046
41294,1289
374,981
2631580,242
2831106,1236
46913,1170
196773,895
2976680,711
82115,930
227290,590
379,169
2613769,62
1612611,54
227292,116
28105,89
323620,75
69277,574
68287,304
325217,174
31988,116
2831100,275
85413,275
2653178,112
119045,270
407,145
186650,51
45401,200
29407,129
2619116,129
674703,129
335928,147
556257,61
119042,85
118882,78
2826938,67
2821832,57
204457,2081
41297,1586
165697,739
2614943,301
2482763,125
13687,319
196159,108
165696,55
165695,53
335929,122
204458,1971
76892,1971
41275,1626
2622653,124
13160,93
588932,93
75,72
20,65
204441,614
433,183
125216,54
2829815,161
191,95
204455,532
31989,259
265,138
2854170,180
1783272,330415
201174,203118
1760,198271
85011,57098
2062,57098
1883,53972
2593676,8616
2903752,340
2203204,228
