TAXID,MS11674_kraken_2024-standard_conf0
1,684661
131567,673953
2,626697
1783272,377010
1239,360681
91061,201033
186826,181578
1300,137019
1357,132011
1940789,3925
2643510,677
2816912,526
3037457,63
2816910,58
1281486,528
1363,524
1301,3940
1307,434
1305,168
2608887,150
1329,65
45634,59
28037,50
81852,41804
1350,41517
1351,9317
1352,4965
1354,194
2737,106
33958,209
1243,98
1245,60
186828,188
117563,104
46124,63
2747,51
186827,144
1385,18321
90964,14903
1279,12376
246432,1124
2815305,331
283734,251
1282,145
1290,83
29385,58
2803850,1495
1296,786
71237,462
42858,82
3076173,443
69966,395
227979,211
2630462,152
2708346,150
489909,76
489910,55
186818,1491
1649,1229
1650,1207
1569,201
1571,119
186817,991
1906945,168
153151,130
129337,70
539738,334
1378,334
1379,172
29391,61
186820,148
2755,134
2756,134
186822,101
44249,68
186801,156777
186802,92440
31979,92163
1485,91278
1502,36056
883064,85
1561,10199
1415775,470
2614128,60
216572,98
3082720,61464
186804,61361
1501226,49352
1507512,48406
2626894,111
2724150,79
1849822,7660
1505,6691
1490,183
29358,80
1505652,678
1460447,160
2813371,84
36841,80
1121315,80
2743582,550
89152,550
1870884,77
1496,75
3085636,859
186803,850
572511,259
1322,160
537007,160
2316020,141
33038,113
1506553,101
29347,93
526524,411
526525,411
128827,343
2749267,328
2583452,328
201174,14509
1760,13572
85006,3285
85019,1074
1696,1074
273384,134
629680,54
85023,830
33882,342
2609290,53
1268,634
32207,212
43675,113
1742989,147
256701,101
861360,101
57493,93
1663,62
85020,196
43668,190
2623841,88
85016,62
85021,61
85007,2581
1653,882
1716,882
1697,140
1705,135
571915,85
160386,69
1285583,69
85029,476
37914,476
322509,57
2617939,57
1762,409
1866885,169
1763,77
85025,406
1827,342
192944,90
33008,66
85026,62
2053,62
85011,1334
2062,1334
1883,1245
2593676,282
85008,791
28056,791
1873,629
47871,136
2617518,81
85012,596
2004,375
2000,248
2632669,87
2012,164
1988,141
85009,372
85015,266
1839,200
2615069,61
31957,68
2037,277
2049,277
1654,182
675090,51
2529408,62
85010,179
2070,179
1813,69
85004,60
31953,60
1678,59
84998,318
84999,269
84107,201
102106,172
147206,109
1497346,84
588673,62
1798711,128
1117,128
3028117,128
1297,52
188787,52
1224,196507
1236,163190
91347,143615
543,135742
561,26984
562,14458
745156,56
208962,506
564,296
1499973,223
2608889,97
2044467,65
544,205
1344959,73
620,131
547,64
590,50
1903414,833
586,633
126385,413
158850,63
583,96
584,51
158848,66
158849,66
1903412,144
635,107
636,92
1903411,89
1903409,52
2887326,5341
468,5341
497,4818
196806,4146
3043330,659
1699621,257
3064892,225
3240930,205
2708350,193
861445,71
469,377
196816,103
135625,2459
712,2459
745,571
754,298
753,174
1649317,361
123824,361
724,355
729,173
416916,114
732,59
75984,71
214906,52
731,52
72274,2233
135621,2201
286,1519
196821,329
2604941,167
136842,63
2901261,301
521720,301
135623,1742
641,1742
662,1578
29497,128
657,98
135622,1670
267890,1034
22,1012
62322,139
267888,556
53246,556
166935,114
1315283,105
135614,1399
32033,1168
40323,302
338,133
68,119
83618,52
1775411,70
135613,181
1046,96
72276,61
135619,104
28256,80
135618,61
403,56
135624,59
84642,57
28216,10534
80840,5263
80864,1861
12916,210
2684926,108
34072,177
663243,103
283,105
47420,98
2610897,57
28065,72
52972,63
119060,963
32008,234
87882,76
1822464,157
106589,134
48736,92
75682,300
2895353,152
149698,72
506,252
517,60
222,52
2975441,123
995019,102
40544,77
224471,66
206351,2506
481,2366
334107,1441
153493,1441
482,608
1931275,119
326522,61
1499392,54
206389,315
2008794,157
33057,73
75787,66
32003,276
2803844,75
2803845,75
2008793,60
28211,10109
356,5197
41294,1089
374,798
2631580,216
82115,1013
227290,895
1612611,118
2643050,118
2986923,113
379,117
69277,233
68287,163
325217,102
45401,163
29407,112
2619116,112
674703,112
119045,145
407,92
335928,128
556257,56
2831100,61
85413,61
119042,58
2831106,57
2821832,56
204457,520
41297,351
13687,119
196159,53
335929,57
204441,514
433,117
2829815,111
191,64
3031144,103
2705399,103
204455,348
31989,184
265,70
2854170,98
204458,137
76892,137
41275,70
1783270,7509
68336,7395
976,7348
200643,5105
171549,5071
815,3357
816,1462
46506,603
449673,102
818,174
817,68
674529,51
909656,982
821,363
387090,179
357276,91
171551,253
836,250
36874,203
2005525,174
375288,168
46503,96
171552,114
838,50
2005519,61
397864,55
117743,1483
200644,1483
49546,1152
237,512
196869,209
2478552,100
1016,314
28189,90
2640652,89
28188,60
2762318,239
2782232,203
2782231,97
59732,56
117747,172
200666,172
84566,168
28453,87
2609468,59
1853228,108
1853229,108
563835,108
768503,81
768507,81
142182,93
219685,93
219686,93
219687,93
29547,3009
3031852,3009
213849,3008
72293,2751
209,2750
2593540,2239
2849641,2033
37372,292
56877,54
1002804,54
72294,156
194,156
2808963,75
32066,1139
203490,1139
203491,1139
203492,1013
848,860
850,246
469616,246
2764326,75
57723,611
1813735,337
2910145,337
2211325,337
2004797,337
1855912,133
2626009,98
2802971,98
204432,153
204433,120
204434,105
2818505,539
32015,275
29,275
80811,275
31,84
1524215,69
161492,69
39,59
3031711,202
3031712,166
49,97
39643,56
1783257,474
203682,355
203683,330
2691355,135
1914233,135
2691354,71
74201,87
200940,198
3031651,86
3031668,51
213422,51
40117,196
203693,191
189778,191
189779,191
1234,188
203691,51
203692,51
2759,42576
33154,42576
33208,42576
6072,42576
33213,42576
33511,42576
7711,42576
89593,42576
7742,42576
7776,42576
117570,42576
117571,42576
8287,42576
1338369,42576
32523,42576
32524,42576
40674,42576
32525,42576
9347,42576
1437010,42576
314146,42576
9443,42576
376913,42576
314293,42576
9526,42576
314295,42576
9604,42576
207598,42576
9605,42576
9606,42576
2157,344
1783275,206
651137,203
1643678,99
31932,88
338190,88
338191,60
651142,81
1825023,75
28890,135
2290931,95
183963,82
2235,82
10239,263
2731341,259
2731360,259
2731618,259
2731619,259
2842320,101
2842570,96
