TAXID,MS11686_kraken_2024-standard_conf0
1,893344
131567,866134
2,837716
1783272,357766
201174,214851
1760,209142
85011,81835
2062,81835
1883,78524
2593676,4649
1535304,591
1170711,228
682410,200
2692235,144
2884220,93
3096009,84
2911367,69
3096006,66
1476754,60
2841662,56
59299,3495
1477431,1966
1886,1872
1827580,1888
2838335,608
188770,572
67345,314
629295,103
2849069,70
53451,70
68232,67
35620,59
2063,71
85012,42584
2004,35175
2000,22378
2632669,6059
2975950,2175
2202249,256
2903898,100
2975949,94
2975951,58
2001,4816
479432,4816
106412,333
83681,6223
2047744,4859
2593643,165
2976003,97
2976002,66
2219224,96
1291556,90
404386,83
1122611,83
1955412,54
1909395,54
2005,291
2614687,154
2903583,93
3144104,52
568844,64
147067,52
2006,52
2012,5238
1988,4890
46158,1282
46163,485
2626254,283
2591108,130
1219491,94
1993,52
83676,205
2013,143
85008,16198
28056,16198
1873,14127
709883,2020
2617518,1710
2975986,673
3156396,112
2903585,82
2975977,70
47871,270
709879,243
47850,143
709868,109
47858,65
35753,190
47989,102
1865,124
85006,9988
85017,3482
157920,3394
1710,398
2624466,284
1906273,149
1268,2285
1663,1498
199136,1037
235627,188
1652545,97
1742989,254
37930,199
57493,167
71999,114
32207,72
85023,1692
33882,977
2609290,317
2654193,60
2048898,54
2851649,104
55968,72
2034,59
85016,611
162491,469
2619021,469
1179673,469
1707,113
85019,396
1696,393
2614124,135
2886045,120
85020,204
43668,199
2623841,149
85021,109
53457,57
85007,6648
85025,3995
1827,3306
223392,1672
192944,57
1817,324
2637762,132
2979332,241
43767,227
1762,1325
1866885,447
36814,69
710685,69
1763,350
2993898,99
1653,740
1716,740
1408191,435
931089,435
160386,74
1285583,74
85026,76
2053,73
85009,5871
85015,5370
1839,4264
2615069,1786
2840457,1098
196162,83
2040,381
2633570,266
3009077,254
2044,51
2045,51
31957,133
2726069,103
182639,103
2644121,88
85010,756
2070,756
1813,233
2618356,122
1847,87
1835,59
2037,258
2049,258
1654,220
2755559,67
1643682,97
85030,97
38501,53
85013,67
74712,67
85004,59
31953,59
1678,56
84992,855
84993,855
633392,818
467975,568
2624035,399
2722752,399
467976,93
1497346,815
588673,658
2600303,223
2600304,183
2997333,98
320583,90
191494,90
2627773,60
2758916,59
2758920,59
2976758,51
2976759,51
2884022,51
84998,703
84999,567
84107,408
102106,364
147206,241
74426,73
1643824,60
1643822,80
1643826,80
1239,135823
186801,87785
186802,55872
31979,53294
1485,52053
1502,18794
107819,153
883064,60
1561,2657
1415775,117
2614128,320
411486,133
1491,89
46867,70
1266,50
2619470,50
2726954,50
216572,1625
216851,336
3030638,98
853,54
1905344,276
1550024,276
2172004,254
2108523,254
946234,225
292800,225
292632,51
538999,107
186806,91
1730,88
3082771,52
3082720,16675
186804,16597
1849822,9616
1505,8526
1490,341
29358,51
2743582,2918
89152,2918
1501226,2848
1507512,2610
2626894,97
2724150,67
1870884,139
1496,134
3085636,10841
186803,10770
572511,3933
1322,2142
537007,2142
1912897,573
418240,293
1121115,293
40520,165
657314,72
411459,53
89014,88
33035,71
2316020,2241
33038,1921
33039,183
46228,76
471875,76
1506553,612
29347,573
189330,419
88431,368
841,141
2719313,136
208479,92
1649459,111
154046,111
33042,98
410072,61
3076670,96
3028070,96
1766253,74
39491,74
2569097,67
39488,67
830,53
91061,35213
186826,23659
1300,14671
1301,14499
1307,664
2608887,460
1304,449
1308,439
1303,335
45634,226
889201,113
1302,146
1305,143
28037,138
1343,119
315405,95
671232,77
1313,70
1318,68
1357,96
81852,8092
1350,7985
1354,6443
1352,156
2737,73
186828,187
117563,158
46124,138
33958,180
186827,137
1375,120
1385,11022
186817,5295
1221880,3319
2636677,3305
2921549,350
2303505,167
2675229,432
450367,198
1386,354
86661,69
185979,56
2675230,243
1399,193
84406,181
1482,132
182709,137
2630292,119
2800373,103
86664,67
400634,88
186818,2262
648800,2129
2637870,427
2921474,135
2921707,78
76853,125
1002809,125
1569,60
90964,1722
1279,993
1288,195
2815305,108
283734,80
61015,89
29385,81
2803850,372
1296,331
3076173,298
69966,258
186822,730
44249,369
185978,101
55080,301
2684853,51
539738,156
1378,156
1379,60
526524,7576
526525,7576
128827,5720
2749267,5619
2583452,5619
2810280,1812
3025755,1730
1547,1690
909932,276
1843489,103
31977,103
29465,95
29466,62
1843488,86
909930,86
33024,78
909929,69
1843491,58
1737404,132
1737405,113
1570339,70
544448,1956
31969,535
2085,354
2092,345
2093,345
273136,225
572419,225
186328,95
2131,82
2132,82
2790996,252
2790998,149
2995234,68
2895623,83
1798711,256
1117,256
3028117,251
1890424,114
1890426,85
1129,85
2626047,84
1297,146
188787,146
118964,88
183710,88
1298,88
200795,85
1224,176950
1236,75166
91347,41485
543,37562
544,11726
1344959,1085
1639133,474
546,151
2644389,52
561,1650
562,1187
702,240
703,240
1903434,113
565,110
547,98
354276,74
299767,51
590,61
1903414,1375
586,1280
126385,805
2633465,60
581,60
582,60
1903409,119
53335,60
1903411,78
135614,13096
32033,12152
40323,7706
995085,771
40324,660
2961925,58
196198,367
216778,324
3003272,60
68,486
435897,94
2635362,53
338,264
83618,234
2645906,92
83614,132
2629088,71
141948,53
1775411,271
75309,52
231454,52
135623,7689
641,7689
657,6382
38293,6194
85581,171
662,1059
717610,387
2315253,82
670,78
2887326,2821
468,2821
469,2722
196816,1105
40214,173
2053287,54
497,57
196806,50
72274,2734
135621,2698
286,2240
196821,425
2883205,74
136843,50
2901164,152
136846,118
578833,100
1706369,1169
1706371,1107
10,1068
2624793,1056
1987723,1009
135622,561
267888,394
53246,393
194690,81
267890,117
22,116
135613,344
1046,136
72276,132
135625,335
712,335
724,88
729,50
745,66
135619,264
28256,197
2745,77
2609666,56
204286,53
135618,136
403,122
3060226,90
2689614,90
469322,90
465721,90
135624,82
84642,79
642,61
1692040,69
1692041,69
28216,41705
80840,31429
80864,14956
47420,3114
2610897,2111
795665,543
2651974,401
434010,141
1842537,129
2806347,70
2806262,53
2716225,92
65656,58
34072,1940
663243,595
34073,157
436515,63
283,1833
285,145
2796366,132
225991,103
2638500,86
32013,72
1219032,72
3046670,60
363952,56
174951,772
94132,772
365046,169
80865,367
12916,257
2684926,167
28065,165
2627954,55
52972,119
2638319,73
238749,87
219181,71
119060,2526
32008,775
87882,226
1822464,342
106589,320
48736,94
93217,87
1827195,75
506,2210
222,1627
1353891,86
2626865,81
217203,70
85698,50
517,134
75682,767
2895353,461
149698,201
2609279,88
1522432,74
963,74
2975441,641
1114981,158
946333,89
2627988,67
3037797,67
93681,138
2626991,60
196013,97
224471,218
212743,52
2640088,52
2753607,52
54066,50
995019,215
40544,151
2494234,81
32003,2116
2803844,1578
2803845,1578
2732067,781
2732487,433
206379,163
914,125
44577,101
2008793,108
90627,60
2008790,56
206389,649
2008794,314
33057,116
2609274,51
12960,100
2629479,67
75787,157
146937,61
2008795,59
206351,575
481,356
334107,206
153493,206
482,91
1499392,99
535,66
2897177,68
28211,26846
356,9279
41294,1480
374,1057
2631580,307
1073,57
2831106,1325
46913,1206
196773,746
2976680,572
2917991,91
69277,984
68287,477
325217,218
31988,273
2644704,96
374606,69
82115,885
227290,568
379,157
2613769,66
357,103
1903858,94
227292,113
28105,74
323620,70
2831100,755
85413,755
2653178,268
2020412,75
3068632,109
119045,321
407,181
186650,67
45401,137
29407,63
2619116,63
674703,63
335928,130
118882,118
354349,91
119042,90
2821832,64
31993,51
255475,50
204457,7047
41297,4355
165697,1859
2614943,460
2830667,64
1515612,86
13687,854
196159,274
165695,140
2611147,70
165696,92
335929,693
1855416,136
2800788,112
1041,85
2633097,54
2820280,58
204458,2957
76892,2957
41275,2025
13160,644
2774189,116
2622653,91
588932,69
20,364
2640670,256
3015177,182
284016,69
450851,69
75,181
2648921,60
204455,592
31989,309
265,130
2854170,188
204441,536
2829815,157
191,102
433,155
1783270,164932
68336,164387
976,164232
200643,155131
171549,154772
815,129409
816,64161
46506,39068
449673,5098
818,1915
338188,1238
2646097,646
2528203,230
2785531,109
2755405,88
820,520
47678,462
1796613,456
371601,353
329854,264
817,232
28111,220
674529,207
139043,198
162156,198
28116,174
291644,139
2792859,130
2650157,91
291645,51
246787,50
909656,55695
387090,20005
821,18470
357276,793
997877,65
376805,661
667015,661
2005525,9169
375288,9160
46503,7024
823,399
2649774,152
2951805,145
387661,58
171552,1764
577309,1507
454155,1103
762982,1103
454154,67
838,140
171550,522
239759,520
328814,297
717959,297
2005519,302
397864,250
2645177,174
1965590,174
397865,53
880074,53
1853231,71
1970189,53
1853228,2104
1853229,2104
563835,2104
79328,1631
536979,1178
1860196,193
661488,193
117743,1783
200644,1783
49546,1272
237,697
196869,114
2762318,288
2782232,204
59732,184
254,71
117747,1451
200666,1451
84566,1412
28453,1016
2609468,803
2996035,537
2961941,95
2795738,77
649196,51
84567,232
984,59
485917,59
423349,65
768503,610
768507,610
2762286,135
1433993,123
2321403,123
1853232,128
89966,84
142182,497
219685,497
219686,497
219687,497
1706036,154
861299,154
173479,119
3237678,114
3062599,114
29547,24403
3031852,24399
213849,24379
72293,22782
209,22767
2593540,16752
2849641,15300
3040201,94
2849642,55
213,4040
37372,292
56877,217
1002804,217
214,51
936155,51
72294,1385
194,1385
197,207
32066,3899
203490,3899
203491,3899
203492,3421
848,2754
850,598
469616,598
2764326,283
856,97
861,82
180162,105
188913,105
167639,66
1129771,105
32067,73
2818505,3074
32015,2150
29,2150
80811,2150
31,1145
32,519
83455,95
83461,205
184914,61
224458,51
2813578,51
1524215,238
161492,238
2918170,59
39,209
47,84
3031711,686
3031712,559
49,285
39643,172
56,102
55,55
2567896,55
1055686,161
1055688,161
927083,160
1783257,1514
203682,1024
203683,944
2691354,401
2691359,288
2691417,242
2650471,185
2691357,85
112,137
126,137
2691355,131
1914233,131
2691356,70
1763524,70
74201,403
414999,244
415000,237
134623,237
178440,87
2649488,58
1882749,58
203494,129
48461,121
203557,100
518753,67
57723,978
1813735,510
2910145,510
2211325,510
2004797,510
1855912,195
2626009,144
2802971,144
204432,261
204433,193
204434,162
533205,78
574975,66
574976,66
40117,555
203693,547
189778,547
189779,547
1234,539
42253,99
2652172,68
1936990,68
2973512,52
200940,461
3031651,173
3031668,98
213422,98
69541,62
3031449,137
213115,137
194924,123
203691,147
203692,147
1643688,84
170,84
171,83
1917830,64
3018035,122
3031418,65
213481,65
213483,65
958,50
2323,52
1783234,52
2759,16572
33154,16572
33208,16572
6072,16572
33213,16572
33511,16572
7711,16572
89593,16572
7742,16572
7776,16572
117570,16572
117571,16572
8287,16572
1338369,16572
32523,16572
32524,16572
40674,16572
32525,16572
9347,16572
1437010,16572
314146,16572
9443,16572
376913,16572
314293,16572
9526,16572
314295,16572
9604,16572
207598,16572
9605,16572
9606,16572
2157,1780
1783275,1223
651137,1209
1643678,739
31932,485
338190,485
338191,310
1033996,246
1033997,246
497726,174
497727,106
1237085,106
651142,231
1825023,165
28890,430
2290931,353
183963,304
2235,304
1644056,52
10239,25133
2731341,25128
2731360,25128
2731618,25127
2731619,25127
2946170,12754
1198136,12537
10663,11286
1914165,70
2733105,1280
2734109,1280
2502409,1280
2788787,128
1109712,70
2560065,108
2560071,106
2732968,105
2731643,95
2731958,93
2946646,53
